 Step       Num walks        Ene
         1         14977       1.5005762076
         2         22431       1.4992725392
         3          7558       1.4977933379
         4          7558       1.4966083030
         5          7558       1.4954027720
         6          7558       1.4944409075
         7          7558       1.4933246564
         8          7558       1.4923065056
         9          7558       1.4913223954
        10          7558       1.4904367332
        11          7558       1.4895018989
        12          7558       1.4883716537
        13          7558       1.4875128426
        14          7558       1.4865890778
        15          7558       1.4857660649
        16          7558       1.4850092841
        17          7558       1.4841119553
        18          7558       1.4833546873
        19          7558       1.4825782202
        20          7558       1.4818042496
        21          7558       1.4811538631
        22          7558       1.4803235487
        23          7558       1.4796428155
        24          7558       1.4789522973
        25          7558       1.4784236945
        26          7558       1.4777295183
        27          7558       1.4770396351
        28          7558       1.4763349852
        29          7558       1.4756829312
        30          7558       1.4750547807
        31          7558       1.4745525374
        32          7558       1.4738908034
        33          7558       1.4735337957
        34          7558       1.4731314635
        35          7558       1.4729440112
        36          7558       1.4722417864
        37          7558       1.4720300998
        38          7558       1.4717340516
        39          7558       1.4712336059
        40          7558       1.4707723330
        41          7558       1.4702763361
        42          7558       1.4701942136
        43          7558       1.4698549866
        44          7558       1.4695655620
        45          7558       1.4691817115
        46          7558       1.4689399335
        47          7558       1.4686413687
        48          7558       1.4682955183
        49          7558       1.4678233143
        50          7558       1.4675560626
        51          7558       1.4672403826
        52          7558       1.4669766466
        53          7558       1.4667116347
        54          7558       1.4663366473
        55          7558       1.4660143222
        56          7558       1.4660051036
        57          7558       1.4656557893
        58          7558       1.4654195887
        59          7558       1.4652346504
        60          7558       1.4649457059
        61          7558       1.4646480360
        62          7558       1.4642779599
        63          7558       1.4642040631
        64          7558       1.4639442868
        65          7558       1.4636491134
        66          7558       1.4635748726
        67          7558       1.4634511444
        68          7558       1.4632617049
        69          7558       1.4630873317
        70          7558       1.4629903862
        71          7558       1.4628802127
        72          7558       1.4626222537
        73          7558       1.4626023240
        74          7558       1.4624994374
        75          7558       1.4623453157
        76          7558       1.4622707510
        77          7558       1.4624022411
        78          7558       1.4621156341
        79          7558       1.4618916243
        80          7558       1.4616672072
        81          7558       1.4615811971
        82          7558       1.4614895484
        83          7558       1.4615027378
        84          7558       1.4614324855
        85          7558       1.4613232969
        86          7558       1.4612650970
        87          7558       1.4612288448
        88          7558       1.4610847095
        89          7558       1.4609545928
        90          7558       1.4609539722
        91          7558       1.4607804974
        92          7558       1.4606218046
        93          7558       1.4606346120
        94          7558       1.4606920543
        95          7558       1.4606601745
        96          7558       1.4604164150
        97          7558       1.4603701440
        98          7558       1.4603331788
        99          7558       1.4603517458
       100          7558       1.4601480012
       101          7558       1.4600490217
       102          7558       1.4600341548
       103          7558       1.4599267553
       104          7558       1.4599496875
       105          7558       1.4600989178
