 Step       Num walks        Ene     acc_prob
         1            10       1.6875494348       1.0000000000
         2            10       1.6873546541       0.7000000000
         3            10       1.6874245505       0.7000000000
         4            10       1.6875407246       0.7000000000
         5            10       1.6875655191       0.8000000000
         6            10       1.6876698076       0.7000000000
         7            10       1.6876633408       0.7000000000
         8            10       1.6876078902       0.8000000000
         9            10       1.6875214458       0.7000000000
        10            10       1.6874067867       0.8000000000
        11            10       1.6875895775       0.9000000000
        12            10       1.6877175576       0.7000000000
        13            10       1.6877817807       0.9000000000
        14            10       1.6877746410       0.7000000000
        15            10       1.6881537043       0.7000000000
        16            10       1.6882607098       0.6000000000
        17            10       1.6884827721       0.8000000000
        18            10       1.6881997909       0.6000000000
        19            10       1.6880564406       0.8000000000
        20            10       1.6879672173       0.7000000000
        21            10       1.6879641259       0.7000000000
        22            10       1.6876543017       0.6000000000
        23            10       1.6887743316       0.9000000000
        24            10       1.6880231367       0.9000000000
        25            10       1.6875019502       0.8000000000
        26            10       1.6880406643       0.7000000000
        27            10       1.6874231199       0.6000000000
        28            10       1.6874910676       0.6000000000
        29            10       1.6877741782       0.8000000000
        30            10       1.6877358863       0.8000000000
        31            10       1.6880928514       0.7000000000
        32            10       1.6877313327       0.5000000000
        33            10       1.6873249257       0.8000000000
        34            10       1.6871652002       0.5000000000
        35            10       1.6873349745       0.9000000000
        36            10       1.6872411475       0.4000000000
        37            10       1.6873291004       0.6000000000
        38            10       1.6872874825       0.8000000000
        39            10       1.6873776068       0.9000000000
        40            10       1.6874745780       0.9000000000
        41            10       1.6876013582       0.7000000000
        42            10       1.6878836077       0.5000000000
        43            10       1.6880810329       0.7000000000
        44            10       1.6881063910       0.9000000000
        45            10       1.6881287302       0.7000000000
        46            10       1.6879616784       0.7000000000
        47            10       1.6879089617       0.6000000000
        48            10       1.6876271710       0.6000000000
        49            10       1.6875751458       0.8000000000
        50            10       1.6874681073       0.6000000000
        51            10       1.6874296844       0.9000000000
        52            10       1.6874014187       0.5000000000
        53            10       1.6874040372       0.8000000000
        54            10       1.6883338518       0.8000000000
        55            10       1.6877242811       0.9000000000
        56            10       1.6874850394       0.6000000000
        57            10       1.6881171100       0.8000000000
        58            10       1.6882358956       0.8000000000
        59            10       1.6877251529       0.7000000000
        60            10       1.6855250845       0.5000000000
        61            10       1.6854302460       0.8000000000
        62            10       1.6871593967       0.7000000000
        63            10       1.6882902398       0.9000000000
        64            10       1.6883038776       0.9000000000
        65            10       1.6879534192       0.6000000000
        66            10       1.6880151857       0.8000000000
        67            10       1.6882845619       0.7000000000
        68            10       1.6883712918       0.9000000000
        69            10       1.6887116157       0.7000000000
        70            10       1.6883894794       0.4000000000
        71            10       1.6880196939       0.6000000000
        72            10       1.6880655294       0.7000000000
        73            10       1.6878109659       0.7000000000
        74            10       1.6881782001       0.6000000000
        75            10       1.6880119461       0.6000000000
        76            10       1.6881393142       0.7000000000
        77            10       1.6879748510       0.7000000000
        78            10       1.6883543530       0.8000000000
        79            10       1.6883800087       0.9000000000
        80            10       1.6885278584       1.0000000000
        81            10       1.6884777061       0.6000000000
        82            10       1.6884457495       0.8000000000
        83            10       1.6885616485       0.7000000000
        84            10       1.6885651787       0.7000000000
        85            10       1.6888315270       0.9000000000
        86            10       1.6891677164       0.7000000000
        87            10       1.6887615576       0.7000000000
        88            10       1.6889777274       0.6000000000
        89            10       1.6889384972       0.9000000000
        90            10       1.6890944638       0.5000000000
        91            10       1.6887679501       0.5000000000
        92            10       1.6889186601       0.9000000000
        93            10       1.6882548185       1.0000000000
        94            10       1.6882461599       0.5000000000
        95            10       1.6887402975       0.9000000000
        96            10       1.6887966126       0.8000000000
        97            10       1.6888567604       0.6000000000
        98            10       1.6890799489       1.0000000000
        99            10       1.6886177026       0.7000000000
       100            10       1.6886515636       0.9000000000
