 Step       Num walks        Ene
         1          1504       1.5037848247
         2          2257       1.5033796932
         3           703       1.5024364291
         4           703       1.5024326198
         5           703       1.5024158816
         6           703       1.5024559513
         7           703       1.5024569654
         8           703       1.5023941745
         9           703       1.5023941232
        10           703       1.5024467492
        11           703       1.5024107581
        12           703       1.5023924535
        13           703       1.5024171725
        14           703       1.5024023527
        15           703       1.5023174423
        16           703       1.5023285934
        17           703       1.5023339547
        18           703       1.5023331493
        19           703       1.5023195664
        20           703       1.5023094573
        21           703       1.5023567052
        22           703       1.5023505197
        23           703       1.5023644831
        24           703       1.5023734546
        25           703       1.5023927440
        26           703       1.5024353179
        27           703       1.5024645563
        28           703       1.5024806920
        29           703       1.5025037606
        30           703       1.5025356615
        31           703       1.5025378849
        32           703       1.5025126592
        33           703       1.5025033996
        34           703       1.5024854196
        35           703       1.5024951154
        36           703       1.5024634326
        37           703       1.5024929747
        38           703       1.5024829702
        39           703       1.5024958492
        40           703       1.5025240614
        41           703       1.5025151883
        42           703       1.5025298257
        43           703       1.5025719917
        44           703       1.5025601207
        45           703       1.5025651806
        46           703       1.5025785372
        47           703       1.5025996753
        48           703       1.5026145516
        49           703       1.5026465741
        50           703       1.5026465340
        51           703       1.5025860468
        52           703       1.5025794319
        53           703       1.5025337855
        54           703       1.5025804788
        55           703       1.5025508222
        56           703       1.5025891595
        57           703       1.5025843092
        58           703       1.5026137589
        59           703       1.5026029732
        60           703       1.5026116519
        61           703       1.5026065185
        62           703       1.5025740614
        63           703       1.5025661410
        64           703       1.5025113765
        65           703       1.5025231020
        66           703       1.5024930317
        67           703       1.5024192699
        68           703       1.5024437475
        69           703       1.5024363973
        70           703       1.5024771134
        71           703       1.5025264485
        72           703       1.5025034437
        73           703       1.5025076054
        74           703       1.5025249748
        75           703       1.5025601007
        76           703       1.5025686540
        77           703       1.5025873877
        78           703       1.5026233780
        79           703       1.5026416060
        80           703       1.5026181989
        81           703       1.5026315842
        82           703       1.5025908970
        83           703       1.5025833216
        84           703       1.5025754676
        85           703       1.5025741274
        86           703       1.5025715298
        87           703       1.5025442515
        88           703       1.5025965840
        89           703       1.5026781092
        90           703       1.5027057194
        91           703       1.5026683357
        92           703       1.5026127139
        93           703       1.5026261146
        94           703       1.5026301572
        95           703       1.5026510575
        96           703       1.5026101251
        97           703       1.5026186134
        98           703       1.5026138091
        99           703       1.5025925710
       100           703       1.5025691428
       101           703       1.5026180030
       102           703       1.5026173581
       103           703       1.5026435867
       104           703       1.5026821742
       105           703       1.5026882594
       106           703       1.5026745846
       107           703       1.5027041573
       108           703       1.5027392593
       109           703       1.5027204737
       110           703       1.5027289781
       111           703       1.5027635422
       112           703       1.5027303226
       113           703       1.5026943048
       114           703       1.5027442574
       115           703       1.5027773229
       116           703       1.5028059363
       117           703       1.5027920775
       118           703       1.5027866891
       119           703       1.5028025269
       120           703       1.5028550604
       121           703       1.5028425554
       122           703       1.5027822960
       123           703       1.5027612215
       124           703       1.5027434426
       125           703       1.5027463417
       126           703       1.5027389240
       127           703       1.5027664187
       128           703       1.5027254339
       129           703       1.5027443028
       130           703       1.5027435826
       131           703       1.5026982888
       132           703       1.5027269388
       133           703       1.5027441065
       134           703       1.5027354286
       135           703       1.5027620826
       136           703       1.5027128271
       137           703       1.5026766081
       138           703       1.5027188603
       139           703       1.5026887159
       140           703       1.5026822558
       141           703       1.5026793032
       142           703       1.5027194640
       143           703       1.5027238131
       144           703       1.5027308540
       145           703       1.5027600890
       146           703       1.5027357603
       147           703       1.5027135132
       148           703       1.5026762365
       149           703       1.5026632666
       150           703       1.5026561597
       151           703       1.5026613855
       152           703       1.5026600938
       153           703       1.5026577124
       154           703       1.5026697281
       155           703       1.5026653777
       156           703       1.5026607495
       157           703       1.5026800999
       158           703       1.5027079706
       159           703       1.5026770966
       160           703       1.5026743265
       161           703       1.5026886461
       162           703       1.5026429073
       163           703       1.5026597436
       164           703       1.5026928559
       165           703       1.5026409208
       166           703       1.5026167734
       167           703       1.5025555219
       168           703       1.5025681435
       169           703       1.5025765720
       170           703       1.5025375318
       171           703       1.5025412853
       172           703       1.5025807898
       173           703       1.5026058993
       174           703       1.5026457487
       175           703       1.5026091009
       176           703       1.5026492519
       177           703       1.5026861831
       178           703       1.5026331025
       179           703       1.5026457845
