 r                      rho(r)
   0.0400000000       0.0001681316       0.0000000000
   0.0800000000       0.0011485276       0.2167377206
   0.1200000000       0.0030326603       0.2485366851
   0.1600000000       0.0057244071       0.1723002770
   0.2000000000       0.0091009997       0.2329857566
   0.2400000000       0.0130266295       0.2170795940
   0.2800000000       0.0174147233       0.2867818629
   0.3200000000       0.0220982994       0.4018485316
   0.3600000000       0.0268962145       0.1760775980
   0.4000000000       0.0315886030       0.1142253566
   0.4400000000       0.0359118221      -0.0131751221
   0.4800000000       0.0398895323       0.0586901677
   0.5200000000       0.0432032322       0.0425449039
   0.5600000000       0.0462506023      -0.1568833787
   0.6000000000       0.0484123357      -0.2009945433
   0.6400000000       0.0496518105      -0.2476499627
   0.6800000000       0.0502969385      -0.2308767996
   0.7200000000       0.0499300657      -0.2687510920
   0.7600000000       0.0491711016      -0.2536823675
   0.8000000000       0.0477069107      -0.2404382357
   0.8400000000       0.0457887141      -0.1393369719
   0.8800000000       0.0431678990      -0.0136765219
   0.9200000000       0.0401877914      -0.1640546647
   0.9600000000       0.0371892405      -0.0383211958
   1.0000000000       0.0338563282       0.0633276541
   1.0400000000       0.0306066459       0.0085934603
   1.0800000000       0.0272184153       0.0379892607
   1.1200000000       0.0240626732       0.0536330094
   1.1600000000       0.0211365879       0.0744996531
   1.2000000000       0.0183498712       0.0748260687
   1.2400000000       0.0157683671       0.0660792132
   1.2800000000       0.0134278550       0.0865465007
   1.3200000000       0.0113355884       0.0487482435
   1.3600000000       0.0094443223       0.0201176549
   1.4000000000       0.0077875862       0.0052127787
   1.4400000000       0.0063567030       0.0121752035
   1.4800000000       0.0051822499       0.0158011290
   1.5200000000       0.0041093858       0.0205035628
   1.5600000000       0.0032640719       0.0069140543
   1.6000000000       0.0026398960       0.0048315572
   1.6400000000       0.0020599482       0.0044937556
   1.6800000000       0.0015747585       0.0080934240
   1.7200000000       0.0011856647      -0.0053531511
   1.7600000000       0.0009334129       0.0032001934
   1.8000000000       0.0007110180      -0.0023090095
   1.8400000000       0.0005306076       0.0025599070
   1.8800000000       0.0003795662       0.0016748887
   1.9200000000       0.0002848735      -0.0149576335
   1.9600000000       0.0002121979       0.1781455910
   2.0000000000       0.0001581923       0.0000000000
