 r                      rho(r)
   0.0400000000       0.0001593168       0.0000000000
   0.0800000000       0.0011134851       0.7071067812
   0.1200000000       0.0029735405       0.7071067812
   0.1600000000       0.0056791631       0.0000000000
   0.2000000000       0.0090906139       0.0000000000
   0.2400000000       0.0131080868       0.0000000000
   0.2800000000       0.0175418766       0.0000000000
   0.3200000000       0.0222590402       0.0000000000
   0.3600000000       0.0270404064       0.0000000000
   0.4000000000       0.0317028251       0.0000000000
   0.4400000000       0.0361027687       0.0000000000
   0.4800000000       0.0400977708       0.0000000000
   0.5200000000       0.0435326322       0.0000000000
   0.5600000000       0.0463190161       0.0000000000
   0.6000000000       0.0483967831       0.0000000000
   0.6400000000       0.0497261633       0.0000000000
   0.6800000000       0.0502955296       0.0000000000
   0.7200000000       0.0500660625       0.0000000000
   0.7600000000       0.0491974388       0.0000000000
   0.8000000000       0.0476776803       0.0000000000
   0.8400000000       0.0455980509       0.0000000000
   0.8800000000       0.0431031122       0.0000000000
   0.9200000000       0.0402582696       0.0000000000
   0.9600000000       0.0371328141       0.0000000000
   1.0000000000       0.0338958207       0.0000000000
   1.0400000000       0.0305997978       0.0000000000
   1.0800000000       0.0273141707       0.0000000000
   1.1200000000       0.0241489620       0.0000000000
   1.1600000000       0.0210964189       0.0000000000
   1.2000000000       0.0182743243       0.0000000000
   1.2400000000       0.0156564444       0.0000000000
   1.2800000000       0.0132845452       0.0000000000
   1.3200000000       0.0111776316       0.0000000000
   1.3600000000       0.0092982228       0.0000000000
   1.4000000000       0.0076774530       0.0000000000
   1.4400000000       0.0062661817       0.0000000000
   1.4800000000       0.0050786842       0.0000000000
   1.5200000000       0.0040746096       0.0000000000
   1.5600000000       0.0032443751       0.0000000000
   1.6000000000       0.0025499310       0.0000000000
   1.6400000000       0.0019954681       0.0000000000
   1.6800000000       0.0015484627       0.0000000000
   1.7200000000       0.0011859350       0.0000000000
   1.7600000000       0.0009038742       0.0000000000
   1.8000000000       0.0006817152       0.0000000000
   1.8400000000       0.0005106427       0.0000000000
   1.8800000000       0.0003782520       0.0000000000
   1.9200000000       0.0002786183    -733.5307539296
   1.9600000000       0.0002047820       0.0000000000
   2.0000000000       0.0001471344       0.0000000000
