 r                      rho(r)
   0.0400000000       0.0001593830       0.0000000000
   0.0800000000       0.0010995782       0.0480750427
   0.1200000000       0.0029630118       0.1174115645
   0.1600000000       0.0056535845       0.2459802150
   0.2000000000       0.0090563079       0.4067118974
   0.2400000000       0.0130758811       0.3647523068
   0.2800000000       0.0175377057       0.3524559198
   0.3200000000       0.0222044750       0.2501256310
   0.3600000000       0.0269348656       0.1803567971
   0.4000000000       0.0315936261       0.1262736914
   0.4400000000       0.0359646935       0.1279198175
   0.4800000000       0.0399986482       0.0279934980
   0.5200000000       0.0434935950      -0.0713377572
   0.5600000000       0.0463125980      -0.1382433889
   0.6000000000       0.0484250572      -0.1754884166
   0.6400000000       0.0497630109      -0.1981252473
   0.6800000000       0.0503063562      -0.2945519884
   0.7200000000       0.0501154398      -0.2201523192
   0.7600000000       0.0491694384      -0.2033400703
   0.8000000000       0.0476457569      -0.1783021963
   0.8400000000       0.0455672871      -0.1600021513
   0.8800000000       0.0430841535      -0.0961851885
   0.9200000000       0.0402357431      -0.0693290701
   0.9600000000       0.0371918450      -0.0737679385
   1.0000000000       0.0339327832      -0.0644048188
   1.0400000000       0.0306647528      -0.0146668303
   1.0800000000       0.0273759477      -0.0179365167
   1.1200000000       0.0241616786       0.0302687632
   1.1600000000       0.0211598139       0.0602906553
   1.2000000000       0.0183223095       0.0372990558
   1.2400000000       0.0156911210       0.0550118562
   1.2800000000       0.0133302242       0.0533121797
   1.3200000000       0.0112169285       0.0509450447
   1.3600000000       0.0093303755       0.0357206944
   1.4000000000       0.0077349450       0.0301306362
   1.4400000000       0.0063103834       0.0274678605
   1.4800000000       0.0051131269       0.0255537668
   1.5200000000       0.0041001856       0.0210243804
   1.5600000000       0.0032625612       0.0225097349
   1.6000000000       0.0025665754       0.0110531568
   1.6400000000       0.0020013801       0.0076479512
   1.6800000000       0.0015426440       0.0052863812
   1.7200000000       0.0011832703       0.0048186971
   1.7600000000       0.0008980217       0.0025480317
   1.8000000000       0.0006740726       0.0039039289
   1.8400000000       0.0005058273       0.0016500953
   1.8800000000       0.0003776747       0.0012945773
   1.9200000000       0.0002809580      -0.0109247221
   1.9600000000       0.0002081478       0.1792011127
   2.0000000000       0.0001477214       0.0000000000
