 Step       Num walks        Ene
         1           151       1.6881433629
         2           231       1.6881104270
         3            85       1.6881502743
         4            85       1.6881641464
         5            85       1.6881628686
         6            85       1.6883311279
         7            85       1.6883774782
         8            85       1.6884601026
         9            85       1.6882806512
        10            85       1.6860334145
        11            85       1.6877843747
        12            85       1.6882271096
        13            85       1.6882998289
        14            85       1.6883853171
        15            85       1.6882817419
        16            85       1.6881705107
        17            85       1.6882665221
        18            85       1.6882737271
        19            85       1.6885702793
        20            85       1.6883289235
        21            85       1.6882424237
        22            85       1.6884180015
        23            85       1.6883296269
        24            85       1.6881856048
        25            85       1.6883883887
        26            85       1.6883526768
        27            85       1.6883107008
        28            85       1.6882863455
        29            85       1.6883329366
        30            85       1.6883964484
        31            85       1.6883611033
        32            85       1.6884202063
        33            85       1.6884880133
        34            85       1.6885766735
        35            85       1.6886610002
        36            85       1.6886373025
        37            85       1.6885097169
        38            85       1.6885256936
        39            85       1.6886197825
        40            85       1.6885875969
        41            85       1.6887977176
        42            85       1.6882074770
        43            85       1.6887412735
        44            85       1.6885946914
        45            85       1.6881086688
        46            85       1.6886047671
        47            85       1.6889692675
        48            85       1.6887099752
        49            85       1.6887597156
        50            85       1.6888201693
        51            85       1.6889157229
        52            85       1.6888680742
        53            85       1.6882872918
        54            85       1.6886387930
        55            85       1.6887400375
        56            85       1.6887089300
        57            85       1.6888038249
        58            85       1.6888937397
        59            85       1.6890832497
        60            85       1.6888257516
        61            85       1.6888355367
        62            85       1.6889188868
        63            85       1.6889691049
        64            85       1.6888634622
        65            85       1.6888993031
        66            85       1.6888488178
        67            85       1.6887783125
        68            85       1.6890536828
        69            85       1.6889399821
        70            85       1.6890728063
        71            85       1.6889796527
        72            85       1.6890866816
        73            85       1.6889776152
        74            85       1.6890652205
        75            85       1.6890627136
        76            85       1.6891768425
        77            85       1.6891072738
        78            85       1.6891101130
        79            85       1.6890762884
        80            85       1.6885292747
        81            85       1.6883779270
        82            85       1.6890109476
        83            85       1.6889989526
        84            85       1.6888187201
        85            85       1.6888171386
        86            85       1.6887850612
        87            85       1.6891147706
        88            85       1.6890637103
        89            85       1.6890714020
        90            85       1.6884483700
        91            85       1.6889702694
        92            85       1.6889286779
        93            85       1.6890545199
        94            85       1.6891079590
        95            85       1.6892343241
        96            85       1.6888975869
        97            85       1.6889296191
        98            85       1.6889803860
        99            85       1.6890743984
       100            85       1.6888646838
       101            85       1.6890619521
       102            85       1.6890970277
       103            85       1.6891651862
       104            85       1.6891396083
       105            85       1.6890833347
       106            85       1.6888533113
       107            85       1.6889223057
       108            85       1.6892788324
       109            85       1.6893736346
       110            85       1.6892791945
       111            85       1.6891186645
       112            85       1.6890500914
       113            85       1.6891637171
       114            85       1.6893480470
       115            85       1.6893800242
       116            85       1.6891831210
       117            85       1.6892631250
       118            85       1.6892456567
       119            85       1.6891027188
       120            85       1.6895583501
       121            85       1.6896275121
       122            85       1.6896064581
       123            85       1.6891551052
       124            85       1.6892549078
       125            85       1.6892859608
       126            85       1.6894950217
       127            85       1.6892378752
       128            85       1.6890554425
       129            85       1.6885200391
       130            85       1.6895072333
       131            85       1.6893457708
       132            85       1.6893827832
       133            85       1.6892883441
       134            85       1.6894128334
       135            85       1.6894316384
       136            85       1.6895481051
       137            85       1.6895871105
       138            85       1.6892816192
       139            85       1.6893709789
       140            85       1.6892539949
       141            85       1.6895199851
       142            85       1.6894756506
       143            85       1.6895078510
       144            85       1.6894444698
       145            85       1.6893793423
       146            85       1.6892038162
       147            85       1.6895025238
       148            85       1.6891519089
       149            85       1.6892389889
       150            85       1.6892138162
       151            85       1.6893755321
       152            85       1.6893915369
       153            85       1.6895319038
       154            85       1.6892447194
       155            85       1.6892955429
       156            85       1.6894061375
       157            85       1.6891404143
       158            85       1.6892989313
       159            85       1.6894395842
       160            85       1.6897073861
       161            85       1.6896517393
       162            85       1.6887233614
       163            85       1.6895466873
       164            85       1.6900263823
       165            85       1.6879477298
       166            85       1.6895906429
       167            85       1.6896337131
       168            85       1.6894718303
       169            85       1.6895218780
       170            85       1.6896236107
       171            85       1.6895263635
       172            85       1.6896791608
       173            85       1.6896395876
       174            85       1.6896195612
       175            85       1.6896619516
       176            85       1.6895869097
       177            85       1.6896930157
       178            85       1.6897177830
       179            85       1.6895099660
       180            85       1.6896434167
       181            85       1.6896134445
       182            85       1.6896944332
       183            85       1.6896579527
       184            85       1.6896399294
       185            85       1.6897268502
       186            85       1.6897427375
       187            85       1.6895554368
       188            85       1.6895608698
       189            85       1.6893388775
       190            85       1.6894096319
       191            85       1.6926042776
       192            85       1.6893232024
       193            85       1.6895177400
       194            85       1.6896588020
       195            85       1.6896758086
       196            85       1.6898698955
       197            85       1.6900090362
       198            85       1.6900636847
       199            85       1.6898286450
       200            85       1.6896290925
       201            85       1.6894178031
       202            85       1.6896639192
       203            85       1.6895829121
       204            85       1.6897042781
       205            85       1.6858215743
       206            85       1.6894095798
       207            85       1.6896469899
       208            85       1.6900702561
       209            85       1.6897564717
       210            85       1.6898657544
       211            85       1.6898445753
       212            85       1.6898089847
       213            85       1.6898311473
       214            85       1.6897818590
       215            85       1.6899312220
       216            85       1.6896206950
       217            85       1.6896517565
       218            85       1.6893924623
       219            85       1.6897859073
       220            85       1.6895839736
       221            85       1.6894582194
       222            85       1.6896939520
       223            85       1.6898289931
       224            85       1.6898452671
       225            85       1.6898245339
       226            85       1.6897583915
       227            85       1.6897318398
       228            85       1.6898210824
       229            85       1.6897307151
       230            85       1.6898114946
       231            85       1.6900185687
       232            85       1.6897408765
       233            85       1.6899213632
       234            85       1.6901126473
       235            85       1.6900620762
       236            85       1.6898856153
       237            85       1.6890037692
       238            85       1.6896457604
       239            85       1.6900604681
       240            85       1.6899630434
       241            85       1.6899197864
       242            85       1.6898367424
       243            85       1.6898319176
       244            85       1.6897129648
       245            85       1.6898549431
       246            85       1.6899448464
       247            85       1.6898270120
       248            85       1.6900428275
       249            85       1.6901727346
       250            85       1.6902296556
       251            85       1.6900058933
       252            85       1.6900829742
       253            85       1.6894224649
       254            85       1.6897759401
       255            85       1.6899291682
       256            85       1.6901602599
       257            85       1.6898592526
       258            85       1.6898120846
       259            85       1.6901547407
       260            85       1.6901191906
       261            85       1.6901842097
       262            85       1.6900214184
       263            85       1.6897627500
       264            85       1.6898166239
       265            85       1.6900008443
       266            85       1.6901782014
       267            85       1.6898431282
       268            85       1.6899582989
       269            85       1.6901010882
       270            85       1.6901766097
       271            85       1.6903025535
       272            85       1.6902826412
