 Step       Num walks        Ene     acc_prob
         1           101       1.5329034240       0.8500000000
         2           101       1.5327177151       0.8514851485
         3           101       1.5326312910       0.9009900990
         4           102       1.5324399772       0.8712871287
         5           102       1.5324464674       0.8725490196
         6           103       1.5323801514       0.8921568627
         7           103       1.5322943669       0.9223300971
         8           103       1.5320822534       0.8640776699
         9           104       1.5320837325       0.8543689320
        10           105       1.5319562026       0.8557692308
        11           106       1.5319436863       0.7904761905
        12           107       1.5317849435       0.7830188679
        13           107       1.5317600185       0.8598130841
        14           108       1.5316451792       0.8598130841
        15           108       1.5317161015       0.8888888889
        16           109       1.5315612339       0.8333333333
        17           111       1.5314793012       0.8623853211
        18           111       1.5313878686       0.9189189189
        19           111       1.5313612257       0.8378378378
        20           111       1.5312292462       0.8378378378
        21           113       1.5312011705       0.8558558559
        22           115       1.5311803245       0.8495575221
        23           115       1.5311438879       0.8869565217
        24           115       1.5310401327       0.8782608696
        25           115       1.5310115718       0.8521739130
        26           115       1.5308577570       0.8521739130
        27           115       1.5308298336       0.8434782609
        28           115       1.5308027087       0.8434782609
        29           116       1.5307806760       0.8347826087
        30           116       1.5308069722       0.8448275862
        31           116       1.5305835215       0.8620689655
        32           116       1.5305849118       0.8103448276
        33           117       1.5304703389       0.8448275862
        34           117       1.5303766470       0.8547008547
        35           117       1.5303230485       0.8888888889
        36           118       1.5301500170       0.8376068376
        37           118       1.5300985539       0.8813559322
        38           120       1.5300402089       0.8305084746
        39           121       1.5299770551       0.7666666667
        40           121       1.5298496425       0.8677685950
        41           121       1.5298038200       0.8677685950
        42           122       1.5295770488       0.7685950413
        43           123       1.5295190021       0.8606557377
        44           123       1.5295085503       0.8130081301
        45           123       1.5294536443       0.8292682927
        46           123       1.5294002008       0.8617886179
        47           124       1.5293484650       0.8780487805
        48           125       1.5290408805       0.8467741935
        49           125       1.5289348245       0.8160000000
        50           125       1.5288829429       0.8480000000
        51           127       1.5288240635       0.8480000000
        52           127       1.5288650695       0.8425196850
        53           127       1.5287924800       0.8031496063
        54           127       1.5287483010       0.8188976378
        55           128       1.5285956018       0.8818897638
        56           128       1.5283440924       0.8515625000
        57           129       1.5283744170       0.8281250000
        58           130       1.5283224752       0.8527131783
        59           131       1.5281989720       0.8615384615
        60           131       1.5280529819       0.8473282443
        61           132       1.5279049162       0.9160305344
        62           132       1.5277831719       0.8030303030
        63           132       1.5276726819       0.8712121212
        64           133       1.5276000723       0.8712121212
        65           134       1.5275672163       0.8120300752
        66           134       1.5275242336       0.7686567164
        67           134       1.5274353831       0.8432835821
        68           135       1.5273358138       0.8805970149
        69           136       1.5274116038       0.9111111111
        70           138       1.5271916577       0.8308823529
        71           139       1.5270032960       0.8623188406
        72           141       1.5270657290       0.8920863309
        73           142       1.5270906837       0.8510638298
        74           142       1.5269637826       0.8591549296
