 Step       Num walks        Ene
         1            17       1.4939873800
         2            27       1.4910001876
         3             9       1.4923699134
         4            36       1.4916024203
         5            13       1.5108956168
         6            52       1.5110411770
         7            14       1.5201365830
         8            56       1.5203096026
         9            16       1.5059393808
        10            52       1.5052297278
        11            16       1.5166326051
        12            56       1.5168642493
        13            19       1.5225997959
        14            17       1.5213611662
        15            24       1.5206094352
        16             3       1.5201334091
        17             3       1.5194390054
        18             3       1.5200340698
        19             3       1.5237955901
        20             3       1.5209060715
        21             3       1.5179732518
        22             3       1.5211862205
        23             3       1.5201496633
        24             3       1.5194303320
        25             3       1.5202323575
        26             3       1.5224963844
        27             3       1.5245759894
        28             3       1.5233707609
        29             3       1.5250317963
        30             3       1.5276752746
        31             3       1.5286137241
        32             3       1.5296720591
        33             3       1.5274262866
        34             3       1.5236116932
        35             3       1.5207765581
        36             3       1.5201481036
        37             3       1.5200254517
        38             3       1.5167145627
        39             3       1.5202484708
        40             3       1.5165577394
        41             3       1.5115193487
        42             3       1.5098048112
        43             3       1.5136029563
        44             3       1.5124350490
        45             3       1.5112484068
        46             3       1.5099598152
        47             3       1.5033863434
        48             3       1.5024293242
        49             3       1.5035913887
        50             3       1.5020762783
        51             3       1.5003213660
        52             3       1.4983041770
        53             3       1.4952280458
        54             3       1.4964947532
        55             3       1.4966921041
        56             3       1.4956626762
        57             3       1.4938631523
        58             3       1.4986520424
        59             3       1.5001226915
        60             3       1.5002815992
        61             3       1.5029107632
        62             3       1.5019370478
        63             3       1.5013535484
        64             3       1.4994476361
        65             3       1.5005356111
        66             3       1.5017189612
        67             3       1.5021193126
        68             3       1.4986877741
        69             3       1.4994206837
        70             3       1.5012298100
        71             3       1.5010022383
        72             3       1.4974184381
        73             3       1.4984443897
        74             3       1.4979762954
        75             3       1.4979428361
        76             3       1.4998477373
        77             3       1.4991530064
        78             3       1.4980463067
        79             3       1.4971657612
        80             3       1.4967575849
        81             3       1.4967234973
        82             3       1.4941912416
        83             3       1.4955228395
        84             3       1.4935647752
        85             3       1.4929736189
        86             3       1.4920167744
        87             3       1.4929907088
        88             3       1.4947770090
        89             3       1.4945146355
        90             3       1.4965769289
        91             3       1.4942341237
        92             3       1.4932602807
        93             3       1.4933003917
        94             3       1.4941438554
        95             3       1.4970616741
        96             3       1.4972809794
        97             3       1.5002430754
        98             3       1.5015107495
        99             3       1.5037832883
       100             3       1.5059927427
