 Step       Num walks        Ene     acc_prob
         1           100       1.6882668009       0.8800000000
         2           100       1.6882149319       0.9200000000
         3           100       1.6882649079       0.9400000000
         4           100       1.6882560523       0.8700000000
         5           100       1.6882847589       0.8900000000
         6           100       1.6881824887       0.8900000000
         7           100       1.6881893163       0.8800000000
         8           100       1.6883831440       0.9200000000
         9           100       1.6883760314       0.8300000000
        10           100       1.6884227321       0.9000000000
        11           100       1.6883647223       0.8400000000
        12           100       1.6883524304       0.9000000000
        13           100       1.6883223795       0.8200000000
        14           100       1.6883928308       0.7500000000
        15           100       1.6882673023       0.9000000000
        16           100       1.6883302870       0.9400000000
        17           100       1.6884087795       0.9300000000
        18           100       1.6884209866       0.8600000000
        19           100       1.6883457654       0.8600000000
        20           100       1.6882972995       0.8900000000
        21           100       1.6882886976       0.8100000000
        22           100       1.6883135519       0.8500000000
        23           100       1.6883331118       0.8800000000
        24           100       1.6882934955       0.8600000000
        25           100       1.6882772219       0.8300000000
        26           100       1.6882773108       0.7800000000
        27           100       1.6882451888       0.8600000000
        28           100       1.6882579863       0.9100000000
        29           100       1.6881361349       0.8600000000
        30           100       1.6881904120       0.8400000000
        31           100       1.6880841841       0.8600000000
        32           100       1.6880676103       0.8400000000
        33           100       1.6880858092       0.8800000000
        34           100       1.6880393443       0.9300000000
        35           100       1.6880210946       0.8400000000
        36           100       1.6880878182       0.8900000000
        37           100       1.6881136933       0.8600000000
        38           100       1.6881983823       0.8600000000
        39           100       1.6882363314       0.8000000000
        40           100       1.6881683577       0.9100000000
        41           100       1.6881600291       0.9000000000
        42           100       1.6881587952       0.9100000000
        43           100       1.6881918952       0.9000000000
        44           100       1.6882364160       0.8600000000
        45           100       1.6882815474       0.8800000000
        46           100       1.6885260831       0.8500000000
        47           100       1.6883997685       0.8700000000
        48           100       1.6883884844       0.9400000000
        49           100       1.6884387357       0.8400000000
        50           100       1.6885027049       0.8700000000
        51           100       1.6884671847       0.8700000000
        52           100       1.6884665920       0.9000000000
        53           100       1.6883740646       0.8600000000
        54           100       1.6884310181       0.8500000000
        55           100       1.6883631079       0.8600000000
        56           100       1.6884482581       0.8700000000
        57           100       1.6884642736       0.8600000000
        58           100       1.6884249937       0.8400000000
        59           100       1.6883156893       0.9100000000
