 Step       Num walks        Ene     acc_prob
         1           100       1.6884680630       0.7200000000
         2           100       1.6883865816       0.7700000000
         3           100       1.6885176244       0.7100000000
         4           100       1.6883561139       0.8100000000
         5           100       1.6882770079       0.7500000000
         6           100       1.6884567950       0.6900000000
         7           100       1.6883479428       0.8300000000
         8           100       1.6885634037       0.7900000000
         9           100       1.6884741288       0.7600000000
        10           100       1.6883783980       0.7700000000
        11           100       1.6883258244       0.6500000000
        12           100       1.6886135919       0.8000000000
        13           100       1.6885280963       0.6800000000
        14           100       1.6884362128       0.7300000000
        15           100       1.6886462626       0.8000000000
        16           100       1.6886297849       0.7300000000
        17           100       1.6885523575       0.7000000000
        18           100       1.6888558330       0.7800000000
        19           100       1.6887168863       0.7400000000
        20           100       1.6886860206       0.7200000000
        21           100       1.6885617348       0.7400000000
        22           100       1.6887785283       0.7400000000
        23           100       1.6887140826       0.7100000000
        24           100       1.6886104079       0.7400000000
        25           100       1.6885154422       0.6500000000
        26           100       1.6888301139       0.7500000000
        27           100       1.6888717310       0.7400000000
        28           100       1.6887100537       0.6800000000
        29           100       1.6888158163       0.7400000000
        30           100       1.6888990847       0.6600000000
        31           100       1.6889984456       0.7200000000
        32           100       1.6889400640       0.7200000000
        33           100       1.6889625368       0.6600000000
        34           100       1.6889002519       0.7200000000
        35           100       1.6887850210       0.7400000000
        36           100       1.6889655233       0.6900000000
        37           100       1.6889905422       0.7600000000
        38           100       1.6889219230       0.7700000000
        39           100       1.6889115725       0.7000000000
        40           100       1.6890093893       0.7300000000
        41           100       1.6890102780       0.8000000000
        42           100       1.6890548976       0.6800000000
        43           100       1.6888992532       0.7000000000
        44           100       1.6889979909       0.6800000000
        45           100       1.6890999109       0.6800000000
        46           100       1.6890597033       0.7200000000
        47           100       1.6890185510       0.7300000000
        48           100       1.6891205845       0.6900000000
        49           100       1.6892905645       0.7900000000
        50           100       1.6890174253       0.7400000000
        51           100       1.6890665871       0.6600000000
        52           100       1.6889057109       0.6500000000
        53           100       1.6887869367       0.7500000000
        54           100       1.6888741505       0.7400000000
        55           100       1.6886769418       0.7200000000
        56           100       1.6887872050       0.8100000000
        57           100       1.6888189735       0.6700000000
        58           100       1.6888871306       0.6900000000
        59           100       1.6887613977       0.7100000000
        60           100       1.6888056748       0.6900000000
        61           100       1.6889614266       0.7500000000
        62           100       1.6889596884       0.6800000000
        63           100       1.6889836051       0.7800000000
        64           100       1.6891398437       0.6300000000
        65           100       1.6891055643       0.8200000000
        66           100       1.6889130179       0.7200000000
        67           100       1.6889323722       0.8200000000
        68           100       1.6888904500       0.7100000000
        69           100       1.6888637919       0.7300000000
        70           100       1.6889021724       0.7200000000
        71           100       1.6890307774       0.7500000000
        72           100       1.6889327789       0.7700000000
        73           100       1.6889500125       0.7500000000
        74           100       1.6891235693       0.7600000000
        75           100       1.6891793338       0.7000000000
        76           100       1.6891510710       0.7500000000
        77           100       1.6890818700       0.7700000000
        78           100       1.6890501324       0.7000000000
        79           100       1.6891652812       0.6700000000
        80           100       1.6889985541       0.7600000000
        81           100       1.6889332309       0.7100000000
        82           100       1.6891821882       0.6300000000
        83           100       1.6892738561       0.7700000000
        84           100       1.6892296613       0.7500000000
        85           100       1.6894010092       0.7900000000
        86           100       1.6890721816       0.6700000000
        87           100       1.6890589560       0.7300000000
        88           100       1.6892120904       0.6900000000
        89           100       1.6889446670       0.7900000000
        90           100       1.6891587820       0.6600000000
        91           100       1.6892941921       0.7500000000
        92           100       1.6890404298       0.8100000000
        93           100       1.6893575302       0.7200000000
        94           100       1.6890877145       0.7400000000
        95           100       1.6893194680       0.7300000000
        96           100       1.6892206594       0.7200000000
        97           100       1.6891749416       0.8000000000
        98           100       1.6892616373       0.7300000000
        99           100       1.6894696354       0.7600000000
       100           100       1.6892727767       0.7100000000
       101           100       1.6893814417       0.7300000000
       102           100       1.6894796853       0.7000000000
       103           100       1.6892419034       0.7800000000
       104           100       1.6892839752       0.7500000000
       105           100       1.6892601776       0.7400000000
       106           100       1.6892663305       0.7600000000
       107           100       1.6892408026       0.8000000000
       108           100       1.6892943015       0.7100000000
       109           100       1.6890986653       0.7600000000
       110           100       1.6891777907       0.7400000000
       111           100       1.6890013270       0.6300000000
       112           100       1.6889752084       0.7000000000
       113           100       1.6893407859       0.6600000000
       114           100       1.6892632753       0.6800000000
       115           100       1.6891361154       0.7600000000
       116           100       1.6893742376       0.7700000000
       117           100       1.6893195309       0.7600000000
       118           100       1.6893843828       0.7300000000
       119           100       1.6893962560       0.7200000000
       120           100       1.6893123795       0.7000000000
       121           100       1.6893891507       0.7500000000
       122           100       1.6892593883       0.7200000000
       123           100       1.6896169076       0.7600000000
       124           100       1.6890400741       0.7300000000
       125           100       1.6893113687       0.6500000000
       126           100       1.6892975283       0.6800000000
       127           100       1.6892057999       0.6600000000
       128           100       1.6894624881       0.7600000000
       129           100       1.6894191529       0.7700000000
       130           100       1.6893695866       0.7100000000
       131           100       1.6893598093       0.7600000000
       132           100       1.6891942570       0.7300000000
       133           100       1.6892302979       0.5900000000
       134           100       1.6892880969       0.7300000000
       135           100       1.6893702407       0.7300000000
       136           100       1.6894922110       0.7200000000
       137           100       1.6895635869       0.7300000000
       138           100       1.6895447951       0.7700000000
       139           100       1.6891939856       0.8000000000
       140           100       1.6894543045       0.7300000000
       141           100       1.6894228500       0.7400000000
       142           100       1.6895774619       0.7100000000
       143           100       1.6893895190       0.7500000000
       144           100       1.6895169309       0.7200000000
       145           100       1.6891261820       0.7300000000
       146           100       1.6893766175       0.7900000000
       147           100       1.6892626375       0.7500000000
       148           100       1.6894735103       0.7700000000
       149           100       1.6894275693       0.8000000000
       150           100       1.6894779836       0.6500000000
       151           100       1.6892830378       0.7400000000
       152           100       1.6893930309       0.7200000000
       153           100       1.6894014069       0.7900000000
       154           100       1.6894696178       0.7600000000
       155           100       1.6894159579       0.7800000000
       156           100       1.6897583189       0.7000000000
       157           100       1.6892203297       0.7000000000
       158           100       1.6893398767       0.7200000000
       159           100       1.6894577565       0.6900000000
       160           100       1.6891389563       0.7600000000
       161           100       1.6891660985       0.8000000000
       162           100       1.6886685150       0.7300000000
       163           100       1.6892413050       0.7300000000
       164           100       1.6894346503       0.7700000000
       165           100       1.6893636193       0.7000000000
       166           100       1.6894489364       0.7700000000
       167           100       1.6895893465       0.7600000000
       168           100       1.6894730774       0.6700000000
       169           100       1.6895015256       0.6500000000
       170           100       1.6894533421       0.7400000000
       171           100       1.6894869096       0.7500000000
       172           100       1.6893845388       0.8100000000
       173           100       1.6894947515       0.8300000000
       174           100       1.6895976683       0.7200000000
       175           100       1.6895624485       0.6900000000
       176           100       1.6894364848       0.8100000000
       177           100       1.6893368067       0.6400000000
       178           100       1.6896195749       0.7700000000
       179           100       1.6896485271       0.7900000000
       180           100       1.6896644465       0.7200000000
       181           100       1.6894451395       0.6200000000
       182           100       1.6895745358       0.7900000000
       183           100       1.6895048747       0.7800000000
       184           100       1.6893388021       0.7200000000
       185           100       1.6898050390       0.6900000000
       186           100       1.6896151564       0.7400000000
       187           100       1.6895462425       0.8100000000
       188           100       1.6898253106       0.7900000000
       189           100       1.6895860524       0.7500000000
       190           100       1.6897270955       0.7000000000
       191           100       1.6896237154       0.7800000000
       192           100       1.6895702083       0.7300000000
       193           100       1.6897152677       0.7300000000
       194           100       1.6897197467       0.6700000000
       195           100       1.6896224426       0.7600000000
       196           100       1.6895291240       0.7700000000
       197           100       1.6895901645       0.7700000000
       198           100       1.6895586212       0.7400000000
       199           100       1.6897239203       0.8100000000
       200           100       1.6896364813       0.7600000000
       201           100       1.6899505752       0.8200000000
       202           100       1.6898275118       0.7800000000
       203           100       1.6897749577       0.8300000000
       204           100       1.6896610098       0.7200000000
       205           100       1.6897549170       0.7300000000
       206           100       1.6896508714       0.6800000000
       207           100       1.6894542193       0.7900000000
       208           100       1.6899044455       0.7100000000
       209           100       1.6899601696       0.7300000000
       210           100       1.6901106773       0.6900000000
       211           100       1.6899834686       0.7900000000
       212           100       1.6898332165       0.6800000000
       213           100       1.6897310012       0.7600000000
       214           100       1.6899361048       0.6500000000
       215           100       1.6898159649       0.7500000000
       216           100       1.6898457377       0.7300000000
       217           100       1.6899018502       0.7600000000
       218           100       1.6902142892       0.7000000000
       219           100       1.6899090643       0.6800000000
       220           100       1.6899880400       0.7100000000
       221           100       1.6877519305       0.7500000000
       222           100       1.6897016341       0.7100000000
       223           100       1.6899174873       0.7500000000
       224           100       1.6900290440       0.8000000000
       225           100       1.6901074310       0.7300000000
       226           100       1.6883424217       0.7700000000
       227           100       1.6895962530       0.7300000000
       228           100       1.6897913102       0.7100000000
       229           100       1.6896373601       0.7500000000
       230           100       1.6897941295       0.6300000000
       231           100       1.6898690394       0.7100000000
       232           100       1.6898101062       0.7000000000
       233           100       1.6898141031       0.7600000000
       234           100       1.6898568605       0.7500000000
       235           100       1.6898157476       0.7100000000
       236           100       1.6898656448       0.6700000000
       237           100       1.6900237614       0.6700000000
       238           100       1.6899444320       0.7100000000
       239           100       1.6898560842       0.7100000000
       240           100       1.6897126244       0.7800000000
       241           100       1.6899478659       0.7700000000
       242           100       1.6898455460       0.7700000000
       243           100       1.6898214931       0.7400000000
       244           100       1.6899232456       0.7600000000
       245           100       1.6894201520       0.7400000000
       246           100       1.6898310773       0.7600000000
       247           100       1.6904015557       0.6600000000
       248           100       1.6898502809       0.7300000000
       249           100       1.6899186924       0.7500000000
       250           100       1.6896630968       0.6600000000
       251           100       1.6896875894       0.7300000000
       252           100       1.6898712637       0.7400000000
       253           100       1.6899772935       0.8100000000
       254           100       1.6900292549       0.7000000000
       255           100       1.6900768956       0.7100000000
       256           100       1.6900880866       0.6800000000
       257           100       1.6901639062       0.7100000000
       258           100       1.6900641868       0.6600000000
       259           100       1.6900451482       0.6800000000
       260           100       1.6900596412       0.7500000000
       261           100       1.6900384272       0.6600000000
       262           100       1.6898876923       0.8400000000
       263           100       1.6896228782       0.7600000000
       264           100       1.6898824985       0.6900000000
       265           100       1.6898119812       0.6900000000
       266           100       1.6895305185       0.7400000000
       267           100       1.6900818739       0.7800000000
       268           100       1.6899371207       0.7100000000
       269           100       1.6901186827       0.6700000000
       270           100       1.6900950548       0.7400000000
       271           100       1.6902459049       0.7600000000
       272           100       1.6901602864       0.7300000000
       273           100       1.6902584369       0.8100000000
       274           100       1.6898394611       0.7600000000
       275           100       1.6900228256       0.6700000000
       276           100       1.6890917346       0.7000000000
       277           100       1.6900535186       0.7200000000
       278           100       1.6900526014       0.7400000000
       279           100       1.6900874788       0.7200000000
       280           100       1.6904230983       0.7000000000
       281           100       1.6902378906       0.6700000000
       282           100       1.6902040824       0.7100000000
       283           100       1.6904717196       0.7700000000
       284           100       1.6897913712       0.8200000000
       285           100       1.6894646599       0.6900000000
       286           100       1.6895817496       0.7900000000
       287           100       1.6903055528       0.6900000000
       288           100       1.6902656540       0.7500000000
       289           100       1.6903687395       0.7200000000
       290           100       1.6910114497       0.7900000000
       291           100       1.6904818490       0.7600000000
       292           100       1.6904696130       0.6900000000
       293           100       1.6905744461       0.7300000000
       294           100       1.6906111569       0.7800000000
       295           100       1.6901518665       0.6900000000
       296           100       1.6896152012       0.7200000000
       297           100       1.6900804106       0.7900000000
       298           100       1.6904083334       0.8100000000
       299           100       1.6899758087       0.7300000000
       300           100       1.6899287387       0.7000000000
       301           100       1.6899455098       0.7600000000
       302           100       1.6904363166       0.6700000000
       303           100       1.6900001379       0.8500000000
       304           100       1.6902722984       0.5900000000
       305           100       1.6902097344       0.7100000000
       306           100       1.6902262824       0.7100000000
       307           100       1.6902461492       0.8200000000
       308           100       1.6903712876       0.7700000000
       309           100       1.6904832909       0.7300000000
       310           100       1.6900175069       0.7500000000
       311           100       1.6901094736       0.7200000000
       312           100       1.6900980511       0.7300000000
       313           100       1.6902838234       0.7600000000
       314           100       1.6903879774       0.7100000000
       315           100       1.6901842330       0.7700000000
       316           100       1.6891202330       0.7500000000
       317           100       1.6900885651       0.7300000000
       318           100       1.6903000992       0.6700000000
       319           100       1.6902437290       0.7300000000
       320           100       1.6902319774       0.7300000000
       321           100       1.6902080349       0.6700000000
       322           100       1.6903391110       0.6900000000
       323           100       1.6901269902       0.6200000000
       324           100       1.6903620870       0.7600000000
       325           100       1.6902621179       0.7600000000
       326           100       1.6907606842       0.7000000000
       327           100       1.6904954847       0.8000000000
       328           100       1.6900427394       0.6400000000
       329           100       1.6897450454       0.7200000000
       330           100       1.6900677667       0.6400000000
       331           100       1.6899519131       0.7600000000
       332           100       1.6903570931       0.6900000000
       333           100       1.6904567592       0.6800000000
       334           100       1.6903686489       0.7300000000
       335           100       1.6903306756       0.7600000000
