 Step       Num walks        Ene     acc_prob
         1           100       1.6883854230       0.9800000000
         2           100       1.6883807229       0.9400000000
         3           100       1.6883798887       0.9900000000
         4           100       1.6883946662       0.9400000000
         5           100       1.6884140508       0.9300000000
         6           100       1.6884037535       0.9300000000
         7           100       1.6884062025       0.9400000000
         8           100       1.6884163775       0.9600000000
         9           100       1.6883936351       0.9600000000
        10           100       1.6884214867       0.9500000000
        11           100       1.6884502889       0.9700000000
        12           100       1.6884333520       0.9300000000
        13           100       1.6884124182       0.9500000000
        14           100       1.6884025055       0.9700000000
        15           100       1.6884214152       0.9700000000
        16           100       1.6884542109       0.9600000000
        17           100       1.6884503040       0.9600000000
        18           100       1.6884367880       0.9100000000
        19           101       1.6884153220       0.9500000000
        20           101       1.6884479299       0.9504950495
        21           101       1.6884455842       0.9603960396
        22           101       1.6884025310       0.9405940594
        23           101       1.6884186223       0.9504950495
        24           101       1.6884395688       0.9801980198
        25           101       1.6884370775       0.9603960396
        26           101       1.6884462592       0.9405940594
        27           101       1.6881586153       0.9504950495
        28           101       1.6884046133       0.9207920792
        29           101       1.6884216887       0.9603960396
        30           101       1.6884435561       0.9504950495
        31           101       1.6884702722       0.9108910891
        32           101       1.6884530132       0.9801980198
        33           101       1.6884389669       0.9504950495
        34           101       1.6884302378       0.9405940594
        35           101       1.6884429945       0.9306930693
        36           101       1.6884357634       0.9405940594
        37           101       1.6884826761       0.9504950495
        38           101       1.6884704870       0.9108910891
        39           101       1.6884685304       0.9405940594
        40           101       1.6884680349       0.9306930693
        41           101       1.6884869568       0.9702970297
        42           101       1.6884494667       0.9603960396
        43           101       1.6884242558       0.9801980198
        44           101       1.6884171721       0.9306930693
        45           101       1.6884440148       0.9108910891
        46           101       1.6884294707       0.9603960396
        47           102       1.6883774315       0.9504950495
        48           102       1.6884105831       0.9313725490
        49           102       1.6883972853       0.9019607843
        50           102       1.6884561897       0.9803921569
        51           102       1.6884217372       0.9313725490
        52           103       1.6884117854       0.9313725490
        53           104       1.6884074996       0.9320388350
        54           104       1.6884298972       0.9807692308
        55           104       1.6884605735       0.9519230769
        56           104       1.6884916344       0.9326923077
        57           104       1.6884246148       0.9615384615
        58           104       1.6884489305       0.9615384615
        59           104       1.6884157423       0.9903846154
        60           104       1.6884233007       0.9423076923
        61           104       1.6884065146       0.9807692308
        62           104       1.6884016786       0.9711538462
        63           104       1.6884082604       0.9326923077
        64           104       1.6883980519       0.9903846154
        65           104       1.6883928630       0.9326923077
        66           104       1.6883886660       0.9615384615
        67           104       1.6883763228       0.9230769231
        68           104       1.6883905505       0.9326923077
        69           104       1.6883804270       0.9519230769
        70           104       1.6883746377       0.9038461538
        71           104       1.6883705866       0.9038461538
        72           104       1.6883728815       0.9326923077
        73           104       1.6883691965       0.9615384615
        74           104       1.6883796323       0.9519230769
        75           104       1.6883805482       0.9423076923
        76           104       1.6883813224       0.9615384615
        77           104       1.6883690519       0.9230769231
        78           104       1.6884180291       0.9230769231
        79           104       1.6883902395       0.9615384615
        80           104       1.6883753567       0.9519230769
        81           104       1.6883893708       0.9230769231
        82           104       1.6883976791       0.9711538462
        83           104       1.6883899033       0.9134615385
        84           104       1.6883978977       0.9519230769
        85           104       1.6883760600       0.9326923077
        86           104       1.6883907447       0.9711538462
        87           104       1.6884035119       0.9615384615
        88           104       1.6884218446       0.9615384615
        89           104       1.6884365161       0.9807692308
        90           104       1.6884506652       0.9423076923
        91           104       1.6884170648       0.9326923077
        92           104       1.6883958162       0.9615384615
        93           104       1.6884289760       0.9230769231
        94           105       1.6884082987       0.9615384615
        95           105       1.6884118731       0.9619047619
        96           106       1.6883886325       0.9714285714
        97           106       1.6883347740       0.9622641509
        98           106       1.6883574926       0.9433962264
        99           106       1.6883329125       0.9433962264
       100           106       1.6882357360       0.9716981132
       101           106       1.6881580012       0.9245283019
       102           106       1.6881882296       0.9905660377
       103           106       1.6881822959       0.9622641509
       104           106       1.6882768489       0.9622641509
       105           106       1.6883076743       0.9622641509
       106           104       1.6883280422       0.9245283019
       107           104       1.6883050175       0.9615384615
       108           104       1.6883291685       0.8846153846
       109           104       1.6883065586       0.9423076923
       110           104       1.6883065125       0.9615384615
       111           104       1.6882200340       0.9038461538
       112           104       1.6881550432       0.9230769231
       113           104       1.6882240417       0.9711538462
       114           104       1.6882317999       0.9423076923
       115           104       1.6883087420       0.9519230769
       116           102       1.6883428061       0.9615384615
       117           102       1.6883830675       0.9607843137
