 Step       Num walks        Ene     acc_prob
         1           501       1.6884133263       0.8400000000
         2           503       1.6884503381       0.8822355289
         3           504       1.6884294226       0.8548707753
         4           506       1.6884543242       0.8710317460
         5           509       1.6883978213       0.8438735178
         6           512       1.6884006050       0.8998035363
         7           516       1.6883720408       0.8515625000
         8           519       1.6884023217       0.8585271318
         9           521       1.6883930375       0.8689788054
        10           527       1.6883692269       0.8406909789
        11           532       1.6883631152       0.8804554080
        12           535       1.6883935852       0.8439849624
        13           535       1.6884050237       0.8766355140
        14           536       1.6884277429       0.8803738318
        15           537       1.6884302105       0.8358208955
        16           539       1.6883243037       0.8901303538
        17           539       1.6883852402       0.8775510204
        18           541       1.6884652172       0.8886827458
        19           544       1.6884479302       0.8576709797
        20           546       1.6883784339       0.8621323529
        21           548       1.6883650287       0.8608058608
        22           552       1.6884254376       0.8594890511
        23           554       1.6883513582       0.8768115942
        24           555       1.6883364287       0.8700361011
        25           559       1.6884589215       0.8846846847
        26           563       1.6884103570       0.8872987478
        27           563       1.6883875053       0.8845470693
        28           565       1.6883879533       0.8898756661
        29           570       1.6884414780       0.8690265487
        30           574       1.6884518976       0.8807017544
        31           576       1.6884400471       0.8797909408
        32           578       1.6884229412       0.8663194444
        33           581       1.6884520759       0.8685121107
        34           583       1.6884558074       0.8743545611
        35           593       1.6884565859       0.8833619211
        36           595       1.6884197516       0.8887015177
        37           596       1.6884656735       0.8739495798
        38           598       1.6884512318       0.8825503356
        39           602       1.6884493218       0.8795986622
        40           604       1.6884492861       0.8720930233
        41           606       1.6884723698       0.8874172185
        42           610       1.6884988168       0.8679867987
        43           612       1.6885047581       0.8754098361
        44           615       1.6884569796       0.8676470588
        45           621       1.6884551892       0.8585365854
        46           624       1.6884356464       0.8599033816
        47           628       1.6884179873       0.8653846154
        48           633       1.6884364833       0.8757961783
        49           636       1.6883640251       0.8925750395
        50           641       1.6884158738       0.8679245283
        51           642       1.6884517055       0.8907956318
        52           643       1.6884494668       0.8753894081
        53           649       1.6885234501       0.8693623639
        54           651       1.6885854078       0.8489984592
        55           657       1.6886475649       0.8740399386
        56           659       1.6885445860       0.8645357686
        57           663       1.6884526442       0.8968133536
        58           666       1.6885285075       0.8838612368
        59           670       1.6885311978       0.8798798799
        60           672       1.6885060587       0.8955223881
        61           675       1.6885084915       0.8735119048
