 r                      rho(r)
   0.2500000000       0.0078567188       0.1261245868
   0.3620689655       0.0152292969       0.1690432586
   0.4741379310       0.0270628906       0.2280537807
   0.5862068966       0.0405377344       0.2756965037
   0.6982758621       0.0530854687       0.3041209771
   0.8103448276       0.0672027344       0.3332812146
   0.9224137931       0.0771649219       0.3413140084
   1.0344827586       0.0839598438       0.3371271903
   1.1465517241       0.0882414062       0.3259201017
   1.2586206897       0.0866006250       0.2969763893
   1.3706896552       0.0829907031       0.2646093426
   1.4827586207       0.0765717969       0.2273333644
   1.5948275862       0.0657147656       0.1810044966
   1.7068965517       0.0563028125       0.1441513611
   1.8189655172       0.0456512500       0.1085374862
   1.9310344828       0.0364338281       0.0805469623
   2.0431034483       0.0271182031       0.0558989446
   2.1551724138       0.0200899219       0.0389287756
   2.2672413793       0.0146994531       0.0268987781
   2.3793103448       0.0100309375       0.0173203099
   2.4913793103       0.0067661719       0.0110966957
   2.6034482759       0.0043925781       0.0068795509
   2.7155172414       0.0024922656       0.0037055942
   2.8275862069       0.0016578125       0.0023722830
   2.9396551724       0.0010035938       0.0013804481
   3.0517241379       0.0004773437       0.0006287884
   3.1637931034       0.0003341406       0.0004304831
   3.2758620690       0.0001798437       0.0002245076
   3.3879310345       0.0000836719       0.0001030001
   3.5000000000       0.0000336719       0.0000387018
