 r                      rho(r)
   0.1000000000       0.0016169952       0.0176444370
   0.2043478261       0.0118049064       0.0954329304
   0.3086956522       0.0307678331       0.1726000752
   0.4130434783       0.0550255681       0.2353358969
   0.5173913043       0.0801448795       0.2857270900
   0.6217391304       0.1016083885       0.3225507607
   0.7260869565       0.1157485268       0.3446583994
   0.8304347826       0.1203961794       0.3516181372
   0.9347826087       0.1152877464       0.3439477940
   1.0391304348       0.1021358089       0.3233653649
   1.1434782609       0.0839736288       0.2925643255
   1.2478260870       0.0641738848       0.2547440489
   1.3521739130       0.0456725950       0.2132878609
   1.4565217391       0.0303154728       0.1709029624
   1.5608695652       0.0188110865       0.1292261376
   1.6652173913       0.0109164682       0.0898290441
   1.7695652174       0.0059461811       0.0562163236
   1.8739130435       0.0030446968       0.0315440559
   1.9782608696       0.0014699055       0.0160552970
   2.0826086957       0.0006674472       0.0074970108
   2.1869565217       0.0002855214       0.0032501021
   2.2913043478       0.0001163444       0.0013327525
   2.3956521739       0.0000451443       0.0005184315
   2.5000000000       0.0000164751       0.0001893386
