 r                      rho(r)
   0.1000000000       0.0016209569       0.0752276382
   0.1244897959       0.0014877950       0.0555766862
   0.1489795918       0.0021874508       0.0682705113
   0.1734693878       0.0030048389       0.0805517838
   0.1979591837       0.0039256075       0.0922149485
   0.2224489796       0.0049609689       0.1037112611
   0.2469387755       0.0060805362       0.1145257086
   0.2714285714       0.0072975598       0.1250577421
   0.2959183673       0.0085682757       0.1347397619
   0.3204081633       0.0098981926       0.1438113062
   0.3448979592       0.0112771257       0.1522985323
   0.3693877551       0.0126615524       0.1597929391
   0.3938775510       0.0140938111       0.1669601495
   0.4183673469       0.0155016883       0.1730734791
   0.4428571429       0.0168902768       0.1783936102
   0.4673469388       0.0182559229       0.1830016760
   0.4918367347       0.0195804438       0.1868356812
   0.5163265306       0.0208699745       0.1900542506
   0.5408163265       0.0220923481       0.1924598081
   0.5653061224       0.0232043268       0.1938103861
   0.5897959184       0.0242661667       0.1947112073
   0.6142857143       0.0251882565       0.1945302153
   0.6387755102       0.0260122013       0.1936707682
   0.6632653061       0.0266828488       0.1918069633
   0.6877551020       0.0272865770       0.1896292367
   0.7122448980       0.0277458772       0.1866483857
   0.7367346939       0.0280557809       0.1828867260
   0.7612244898       0.0282390549       0.1785548711
   0.7857142857       0.0282995673       0.1737133338
   0.8102040816       0.0282529476       0.1684897145
   0.8346938776       0.0280854066       0.1628404493
   0.8591836735       0.0277527731       0.1565364739
   0.8836734694       0.0273542460       0.1501920480
   0.9081632653       0.0268008381       0.1433026805
   0.9326530612       0.0261579022       0.1362703091
   0.9571428571       0.0254572546       0.1292624916
   0.9816326531       0.0246392970       0.1219897012
   1.0061224490       0.0237650131       0.1147629362
   1.0306122449       0.0228124092       0.1074868010
   1.0551020408       0.0218350293       0.1004194101
   1.0795918367       0.0207881375       0.0933400532
   1.1040816327       0.0197091075       0.0864265974
   1.1285714286       0.0186300140       0.0798150143
   1.1530612245       0.0175214747       0.0733612804
   1.1775510204       0.0164309382       0.0672570404
   1.2020408163       0.0153308704       0.0613766491
   1.2265306122       0.0142529337       0.0558244639
   1.2510204082       0.0131971905       0.0505851369
   1.2755102041       0.0121753208       0.0456883986
   1.3000000000       0.0111904144       0.0411292337
   1.3244897959       0.0102660359       0.0369679040
   1.3489795918       0.0093598977       0.0330337180
   1.3734693878       0.0084968253       0.0294040820
   1.3979591837       0.0076941465       0.0261169183
   1.4224489796       0.0069388136       0.0231136504
   1.4469387755       0.0062245304       0.0203531474
   1.4714285714       0.0055665785       0.0178744535
   1.4959183673       0.0049554641       0.0156321558
   1.5204081633       0.0043997607       0.0136403351
   1.5448979592       0.0038895510       0.0118550025
   1.5693877551       0.0034232509       0.0102610100
   1.5938775510       0.0030184695       0.0089019379
   1.6183673469       0.0026317693       0.0076380480
   1.6428571429       0.0023029527       0.0065798384
   1.6673469388       0.0020019051       0.0056326310
   1.6918367347       0.0017314402       0.0047980315
   1.7163265306       0.0014979763       0.0040898539
   1.7408163265       0.0012908580       0.0034735862
   1.7653061224       0.0011042727       0.0029286737
   1.7897959184       0.0009417968       0.0024628381
   1.8142857143       0.0008013686       0.0020667032
   1.8387755102       0.0006796823       0.0017287477
   1.8632653061       0.0005763414       0.0014466881
   1.8877551020       0.0004860251       0.0012043950
   1.9122448980       0.0004088540       0.0009999206
   1.9367346939       0.0003432068       0.0008282797
   1.9612244898       0.0002872957       0.0006845259
   1.9857142857       0.0002379217       0.0005599657
   2.0102040816       0.0001969639       0.0004577404
   2.0346938776       0.0001627035       0.0003735541
   2.0591836735       0.0001343675       0.0003051094
   2.0836734694       0.0001086536       0.0002437092
   2.1081632653       0.0000891777       0.0001976850
   2.1326530612       0.0000729943       0.0001597214
   2.1571428571       0.0000591964       0.0001280366
   2.1816326531       0.0000485677       0.0001039061
   2.2061224490       0.0000394273       0.0000833138
   2.2306122449       0.0000310978       0.0000649344
   2.2551020408       0.0000246024       0.0000508301
   2.2795918367       0.0000203131       0.0000415057
   2.3040816327       0.0000159303       0.0000321617
   2.3285714286       0.0000126602       0.0000253144
   2.3530612245       0.0000105027       0.0000208252
   2.3775510204       0.0000085082       0.0000167107
   2.4020408163       0.0000069085       0.0000134131
   2.4265306122       0.0000054202       0.0000104682
   2.4510204082       0.0000044941       0.0000085690
   2.4755102041       0.0000035343       0.0000066502
   2.5000000000       0.0000027678       0.0000051662
