 r                      rho(r)
   0.1000000000       0.0016149295       0.0180720630
   0.1489795918       0.0036619041       0.0382987936
   0.1979591837       0.0069190023       0.0654409152
   0.2469387755       0.0110465081       0.0931865808
   0.2959183673       0.0158595595       0.1191363183
   0.3448979592       0.0211806058       0.1426494435
   0.3938775510       0.0267722432       0.1635243628
   0.4428571429       0.0324227620       0.1819650724
   0.4918367347       0.0378967030       0.1980456800
   0.5408163265       0.0429803546       0.2118100864
   0.5897959184       0.0474425019       0.2231524086
   0.6387755102       0.0511280209       0.2320769998
   0.6877551020       0.0539241277       0.2386261546
   0.7367346939       0.0557817173       0.2428792229
   0.7857142857       0.0565631801       0.2446475115
   0.8346938776       0.0563466512       0.2441482890
   0.8836734694       0.0551489409       0.2414313180
   0.9326530612       0.0530253174       0.2365251172
   0.9816326531       0.0501085060       0.2296297512
   1.0306122449       0.0465934250       0.2210129240
   1.0795918367       0.0426037632       0.2107708433
   1.1285714286       0.0383100910       0.1991447398
   1.1775510204       0.0339152858       0.1864181222
   1.2265306122       0.0295381397       0.1727094653
   1.2755102041       0.0253292859       0.1582668503
   1.3244897959       0.0213859559       0.1432835956
   1.3734693878       0.0177833864       0.1279204323
   1.4224489796       0.0145784275       0.1124884636
   1.4714285714       0.0117846570       0.0972562735
   1.5204081633       0.0093731928       0.0823882054
   1.5693877551       0.0073541715       0.0684043042
   1.6183673469       0.0056917557       0.0556006224
   1.6673469388       0.0043343471       0.0441730342
   1.7163265306       0.0032591429       0.0343881304
   1.7653061224       0.0024178410       0.0262338992
   1.8142857143       0.0017680712       0.0196246540
   1.8632653061       0.0012756018       0.0143944193
   1.9122448980       0.0009086052       0.0103793465
   1.9612244898       0.0006358944       0.0073351506
   2.0102040816       0.0004398996       0.0051065550
   2.0591836735       0.0003010302       0.0035133471
   2.1081632653       0.0002054208       0.0024061505
   2.1571428571       0.0001370843       0.0016090830
   2.2061224490       0.0000886134       0.0010418356
   2.2551020408       0.0000587400       0.0006914058
   2.3040816327       0.0000381892       0.0004496830
   2.3530612245       0.0000243391       0.0002867322
   2.4020408163       0.0000157053       0.0001850849
   2.4510204082       0.0000102967       0.0001213790
   2.5000000000       0.0000065731       0.0000774938
