 r                      rho(r)
   0.1150000000       0.0024538034       0.0264265264
   0.1777631579       0.0064622703       0.0613177328
   0.2405263158       0.0126809792       0.1016107547
   0.3032894737       0.0204473698       0.1382427440
   0.3660526316       0.0292449447       0.1700942863
   0.4288157895       0.0384639607       0.1975673817
   0.4915789474       0.0475329552       0.2210515145
   0.5543421053       0.0558382774       0.2404648210
   0.6171052632       0.0628535464       0.2556898355
   0.6798684211       0.0681418502       0.2665772091
   0.7426315789       0.0714545734       0.2731741609
   0.8053947368       0.0725591713       0.2753380915
   0.8681578947       0.0714968072       0.2732489575
   0.9309210526       0.0684635688       0.2672050403
   0.9936842105       0.0637411218       0.2575097757
   1.0564473684       0.0577560609       0.2446733599
   1.1192105263       0.0509418903       0.2291550099
   1.1819736842       0.0437672860       0.2115336969
   1.2447368421       0.0365936252       0.1922056761
   1.3075000000       0.0298676185       0.1719245015
   1.3702631579       0.0237528798       0.1508443723
   1.4330263158       0.0184034213       0.1293106047
   1.4957894737       0.0139260554       0.1079437285
   1.5585526316       0.0102768253       0.0872329988
   1.6213157895       0.0074235654       0.0681681360
   1.6840789474       0.0052200020       0.0511932907
   1.7468421053       0.0035902480       0.0370612452
   1.8096052632       0.0024135496       0.0259104491
   1.8723684211       0.0015904891       0.0175619629
   1.9351315789       0.0010275631       0.0115607971
   1.9978947368       0.0006461633       0.0073716905
   2.0606578947       0.0003979429       0.0045801829
   2.1234210526       0.0002424180       0.0028052261
   2.1861842105       0.0001434165       0.0016652604
   2.2489473684       0.0000818589       0.0009524723
   2.3117105263       0.0000467876       0.0005451710
   2.3744736842       0.0000258059       0.0003009978
   2.4372368421       0.0000140355       0.0001636689
   2.5000000000       0.0000074910       0.0000873773
