 r                      rho(r)
   0.1150000000       0.0024608126       0.0264884515
   0.1777631579       0.0064735006       0.0614044406
   0.2405263158       0.0126855806       0.1016269082
   0.3032894737       0.0204588203       0.1382795809
   0.3660526316       0.0292697663       0.1701709270
   0.4288157895       0.0385052114       0.1976794359
   0.4915789474       0.0475722753       0.2211462777
   0.5543421053       0.0558517168       0.2404837316
   0.6171052632       0.0628692566       0.2557159623
   0.6798684211       0.0681764572       0.2666392729
   0.7426315789       0.0714535990       0.2731561829
   0.8053947368       0.0725644577       0.2753374546
   0.8681578947       0.0715138277       0.2732808426
   0.9309210526       0.0684776829       0.2672314013
   0.9936842105       0.0637523705       0.2575252991
   1.0564473684       0.0577957532       0.2447586720
   1.1192105263       0.0509719175       0.2292248036
   1.1819736842       0.0437632800       0.2115215793
   1.2447368421       0.0365846740       0.1921850701
   1.3075000000       0.0298190264       0.1717665647
   1.3702631579       0.0237088011       0.1506879626
   1.4330263158       0.0183666034       0.1291576615
   1.4957894737       0.0138897383       0.1077582355
   1.5585526316       0.0102520149       0.0870917016
   1.6213157895       0.0073835860       0.0678867430
   1.6840789474       0.0051907633       0.0509531255
   1.7468421053       0.0035749261       0.0369321276
   1.8096052632       0.0024110385       0.0258896983
   1.8723684211       0.0015837496       0.0174828265
   1.9351315789       0.0010190084       0.0114726960
   1.9978947368       0.0006414727       0.0073160662
   2.0606578947       0.0003945323       0.0045409597
   2.1234210526       0.0002397623       0.0027727638
   2.1861842105       0.0001429867       0.0016598700
   2.2489473684       0.0000822320       0.0009566937
   2.3117105263       0.0000466277       0.0005430939
   2.3744736842       0.0000250959       0.0002926165
   2.4372368421       0.0000129232       0.0001506744
   2.5000000000       0.0000068375       0.0000797294
