 r                      rho(r)
   0.1150000000       0.0024465941       0.0272034345
   0.1495652174       0.0028907899       0.0316316603
   0.1841304348       0.0045239589       0.0469565649
   0.2186956522       0.0064633079       0.0632065386
   0.2532608696       0.0086700361       0.0795458903
   0.2878260870       0.0111092514       0.0954557535
   0.3223913043       0.0137295886       0.1105554533
   0.3569565217       0.0164692341       0.1245888727
   0.3915217391       0.0192725912       0.1374804856
   0.4260869565       0.0220909249       0.1492888800
   0.4606521739       0.0248571673       0.1599718945
   0.4952173913       0.0275226536       0.1695529289
   0.5297826087       0.0300612442       0.1781620305
   0.5643478261       0.0323705185       0.1856021874
   0.5989130435       0.0344246560       0.1919584192
   0.6334782609       0.0361924410       0.1972428288
   0.6680434783       0.0376629921       0.2015311574
   0.7026086957       0.0387798993       0.2047182643
   0.7371739130       0.0395458084       0.2068733170
   0.7717391304       0.0399366056       0.2079623832
   0.8063043478       0.0399657949       0.2080416567
   0.8408695652       0.0396357247       0.2071181980
   0.8754347826       0.0389532986       0.2052051136
   0.9100000000       0.0379486033       0.2023408172
   0.9445652174       0.0366733619       0.1986319786
   0.9791304348       0.0351541809       0.1941294968
   1.0136956522       0.0334245198       0.1888583507
   1.0482608696       0.0314924619       0.1827756461
   1.0828260870       0.0294522067       0.1760844811
   1.1173913043       0.0273308607       0.1688217527
   1.1519565217       0.0251481695       0.1609638288
   1.1865217391       0.0229596138       0.1526347322
   1.2210869565       0.0207845897       0.1438320972
   1.2556521739       0.0186720139       0.1346901421
   1.2902173913       0.0166405177       0.1252554766
   1.3247826087       0.0147047341       0.1155484345
   1.3593478261       0.0129036549       0.1057993511
   1.3939130435       0.0112422945       0.0960621943
   1.4284782609       0.0097196640       0.0864305315
   1.4630434783       0.0083371455       0.0770057326
   1.4976086957       0.0070971449       0.0679223457
   1.5321739130       0.0060002399       0.0593171010
   1.5667391304       0.0050409626       0.0513173170
   1.6013043478       0.0041989746       0.0439040295
   1.6358695652       0.0034722224       0.0371591974
   1.6704347826       0.0028528362       0.0311527250
   1.7050000000       0.0023247920       0.0258330934
   1.7395652174       0.0018843292       0.0212473817
   1.7741304348       0.0015160471       0.0173126316
   1.8086956522       0.0012132177       0.0139994775
   1.8432608696       0.0009628381       0.0112097560
   1.8778260870       0.0007603645       0.0089154069
   1.9123913043       0.0005935101       0.0069986354
   1.9469565217       0.0004611890       0.0054633287
   1.9815217391       0.0003575211       0.0042523619
   2.0160869565       0.0002751495       0.0032812926
   2.0506521739       0.0002095435       0.0025046107
   2.0852173913       0.0001586613       0.0019001129
   2.1197826087       0.0001197532       0.0014358765
   2.1543478261       0.0000897624       0.0010774709
   2.1889130435       0.0000662679       0.0007963135
   2.2234782609       0.0000491624       0.0005911008
   2.2580434783       0.0000362033       0.0004354442
   2.2926086957       0.0000267037       0.0003213187
   2.3271739130       0.0000196521       0.0002364631
   2.3617391304       0.0000140948       0.0001696219
   2.3963043478       0.0000101442       0.0001221213
   2.4308695652       0.0000073055       0.0000879780
   2.4654347826       0.0000052672       0.0000634003
   2.5000000000       0.0000038684       0.0000465843
