 r                      rho(r)
   0.1000000000       0.0016169024      -0.1377336434
   0.1489795918       0.0036770871      -0.1020619697
   0.1979591837       0.0069504132      -0.1125216215
   0.2469387755       0.0110769571      -0.1238653390
   0.2959183673       0.0158911044      -0.1352646723
   0.3448979592       0.0211945291      -0.1462381845
   0.3938775510       0.0267910472      -0.1565703217
   0.4428571429       0.0324207213      -0.1660382756
   0.4918367347       0.0378832197      -0.1745544014
   0.5408163265       0.0429492745      -0.1819995868
   0.5897959184       0.0474453872      -0.1882974730
   0.6387755102       0.0511587931      -0.1933104857
   0.6877551020       0.0539680910      -0.1969964159
   0.7367346939       0.0558153309      -0.1993807180
   0.7857142857       0.0566257632      -0.2004134737
   0.8346938776       0.0563818767      -0.2001006695
   0.8836734694       0.0551506938      -0.1985190063
   0.9326530612       0.0530144073      -0.1957476268
   0.9816326531       0.0500960027      -0.1918809153
   1.0306122449       0.0465570575      -0.1870615455
   1.0795918367       0.0425661125      -0.1814306860
   1.1285714286       0.0382777604      -0.1751243726
   1.1775510204       0.0338955517      -0.1683619220
   1.2265306122       0.0295496354      -0.1612639736
   1.2755102041       0.0253475476      -0.1539531372
   1.3244897959       0.0214019451      -0.1465791695
   1.3734693878       0.0177963289      -0.1393001053
   1.4224489796       0.0145799160      -0.1322383864
   1.4714285714       0.0117640522      -0.1255168770
   1.5204081633       0.0093610710      -0.1192759719
   1.5693877551       0.0073426826      -0.1136043005
   1.6183673469       0.0056725121      -0.1085495962
   1.6673469388       0.0043155570      -0.1041779465
   1.7163265306       0.0032365051      -0.1005027171
   1.7653061224       0.0023931327      -0.0974900350
   1.8142857143       0.0017473065      -0.0951036752
   1.8632653061       0.0012564521      -0.0932329782
   1.9122448980       0.0008951303      -0.0918269103
   1.9612244898       0.0006286788      -0.0907707735
   2.0102040816       0.0004344953      -0.0900004652
   2.0591836735       0.0002972180      -0.0894431239
   2.1081632653       0.0002014064      -0.0890539887
   2.1571428571       0.0001337973      -0.0887698779
   2.2061224490       0.0000877847      -0.0885911176
   2.2551020408       0.0000571201      -0.0884640944
   2.3040816327       0.0000365332      -0.0883800849
   2.3530612245       0.0000229706      -0.0883241415
   2.4020408163       0.0000143052      -0.0882834812
   2.4510204082       0.0000086648      -0.0882590727
   2.5000000000       0.0000053117      -0.0882538245
