 r                      rho(r)
   0.1000000000       0.0016224982      -0.0012429684
   0.1558139535       0.0044294938      -0.0020470123
   0.2116279070       0.0088259442      -0.0023171900
   0.2674418605       0.0144618482      -0.0026801320
   0.3232558140       0.0210167750      -0.0026543807
   0.3790697674       0.0281035575      -0.0028454082
   0.4348837209       0.0353994739      -0.0028196186
   0.4906976744       0.0425597879      -0.0030835267
   0.5465116279       0.0491704263      -0.0033496196
   0.6023255814       0.0548740614      -0.0035412248
   0.6581395349       0.0594237515      -0.0040035311
   0.7139534884       0.0626107268      -0.0046531105
   0.7697674419       0.0642983333      -0.0055178503
   0.8255813953       0.0643821462      -0.0070584084
   0.8813953488       0.0629615744      -0.0098162850
   0.9372093023       0.0602665444      -0.0157094326
   0.9930232558       0.0563886538      -0.0299364130
   1.0488372093       0.0516540047      -0.0893327460
   1.1046511628       0.0463530913       0.7998037077
   1.1604651163       0.0407574223      -0.5908914976
   1.2162790698       0.0350742583      -0.0392518804
   1.2720930233       0.0296116439      -0.0124375641
   1.3279069767       0.0244772280      -0.0059519828
   1.3837209302       0.0198325858      -0.0034559672
   1.4395348837       0.0157515179      -0.0019444535
   1.4953488372       0.0122722558      -0.0011762558
   1.5511627907       0.0093783520      -0.0007828046
   1.6069767442       0.0070019924      -0.0004827546
   1.6627906977       0.0051478357      -0.0003514216
   1.7186046512       0.0037123463      -0.0002159680
   1.7744186047       0.0026454286      -0.0001527357
   1.8302325581       0.0018478889      -0.0001222385
   1.8860465116       0.0012675074      -0.0000636348
   1.9418604651       0.0008563495      -0.0000267400
   1.9976744186       0.0005672097      -0.0000218773
   2.0534883721       0.0003708995      -0.0000151294
   2.1093023256       0.0002376949      -0.0000101764
   2.1651162791       0.0001506203      -0.0000095368
   2.2209302326       0.0000948916      -0.0000050689
   2.2767441860       0.0000582974      -0.0000002741
   2.3325581395       0.0000334392      -0.0000003973
   2.3883720930       0.0000202336       0.0000002840
   2.4441860465       0.0000121631       0.0000004046
   2.5000000000       0.0000078504      -0.0000004209
