 r                      rho(r)
   0.1000000000       0.0016140627       0.0180866543
   0.1489795918       0.0036678080       0.0383780334
   0.1979591837       0.0069442195       0.0656283706
   0.2469387755       0.0110792800       0.0933653612
   0.2959183673       0.0158870373       0.1192637968
   0.3448979592       0.0212020571       0.1427764984
   0.3938775510       0.0268287205       0.1637553508
   0.4428571429       0.0324739606       0.1821364317
   0.4918367347       0.0379454719       0.1981985795
   0.5408163265       0.0430101645       0.2119361695
   0.5897959184       0.0474357012       0.2231610654
   0.6387755102       0.0510351953       0.2318899147
   0.6877551020       0.0538596809       0.2385038770
   0.7367346939       0.0557225069       0.2427667608
   0.7857142857       0.0564467195       0.2444144250
   0.8346938776       0.0562196924       0.2439035854
   0.8836734694       0.0549268126       0.2409428086
   0.9326530612       0.0528440932       0.2361193359
   0.9816326531       0.0500105997       0.2294211490
   1.0306122449       0.0465771008       0.2209885982
   1.0795918367       0.0426417592       0.2108885600
   1.1285714286       0.0383963840       0.1993962150
   1.1775510204       0.0339913638       0.1866690408
   1.2265306122       0.0295766815       0.1728256661
   1.2755102041       0.0253747227       0.1584294383
   1.3244897959       0.0214285011       0.1434289189
   1.3734693878       0.0178334410       0.1281372947
   1.4224489796       0.0146148938       0.1126641105
   1.4714285714       0.0117671389       0.0971926998
   1.5204081633       0.0093614877       0.0823302336
   1.5693877551       0.0073510778       0.0683632993
   1.6183673469       0.0057006619       0.0556345827
   1.6673469388       0.0043778399       0.0445941514
   1.7163265306       0.0033061309       0.0348098643
   1.7653061224       0.0024620233       0.0266793455
   1.8142857143       0.0018078970       0.0200279160
   1.8632653061       0.0013047241       0.0146850376
   1.9122448980       0.0009410440       0.0107408760
   1.9612244898       0.0006685104       0.0076971186
   2.0102040816       0.0004652559       0.0053921148
   2.0591836735       0.0003181802       0.0037097490
   2.1081632653       0.0002063977       0.0024151132
   2.1571428571       0.0001370273       0.0016079359
   2.2061224490       0.0000862415       0.0010141192
   2.2551020408       0.0000561062       0.0006601809
   2.3040816327       0.0000361447       0.0004254633
   2.3530612245       0.0000229776       0.0002705500
   2.4020408163       0.0000137526       0.0001621325
   2.4510204082       0.0000082820       0.0000975941
   2.5000000000       0.0000046460       0.0000548222
