 r                      rho(r)
   0.1000000000       0.0016101993       0.0176744624
   0.1827586207       0.0080374991       0.0722266157
   0.2655172414       0.0189859450       0.1310482952
   0.3482758621       0.0332492618       0.1810727546
   0.4310344828       0.0491499701       0.2230839137
   0.5137931034       0.0648283772       0.2576062881
   0.5965517241       0.0785368501       0.2843348472
   0.6793103448       0.0887789836       0.3027550332
   0.7620689655       0.0945032351       0.3125694341
   0.8448275862       0.0952214992       0.3137728794
   0.9275862069       0.0912042222       0.3069385079
   1.0103448276       0.0832252551       0.2928767725
   1.0931034483       0.0723804786       0.2726085893
   1.1758620690       0.0601389206       0.2477006676
   1.2586206897       0.0477546213       0.2195682056
   1.3413793103       0.0362598758       0.1896213811
   1.4241379310       0.0263176807       0.1587139568
   1.5068965517       0.0182966007       0.1277712114
   1.5896551724       0.0122549373       0.0981066607
   1.6724137931       0.0079025881       0.0709927537
   1.7551724138       0.0048993988       0.0480987253
   1.8379310345       0.0029080791       0.0304279253
   1.9206896552       0.0016663493       0.0181859855
   2.0034482759       0.0009113292       0.0102073128
   2.0862068966       0.0004916529       0.0055860318
   2.1689655172       0.0002512909       0.0028764848
   2.2517241379       0.0001263670       0.0014555656
   2.3344827586       0.0000589478       0.0006796080
   2.4172413793       0.0000268184       0.0003099248
   2.5000000000       0.0000128323       0.0001483505
