 r                      rho(r)
   0.2500000000       0.0241263800       0.2375795557
   0.3620689655       0.0449801882       0.2986966372
   0.4741379310       0.0740130507       0.3627604057
   0.5862068966       0.1010231452       0.3947442985
   0.6982758621       0.1205750270       0.3996217454
   0.8103448276       0.1289672793       0.3796463376
   0.9224137931       0.1251397070       0.3363009965
   1.0344827586       0.1110038334       0.2750587609
   1.1465517241       0.0902995953       0.2060561112
   1.2586206897       0.0676301877       0.1415572752
   1.3706896552       0.0466958762       0.0895623419
   1.4827586207       0.0296689265       0.0523043761
   1.5948275862       0.0174650843       0.0284616471
   1.7068965517       0.0095507141       0.0144797363
   1.8189655172       0.0048658125       0.0069040773
   1.9310344828       0.0023056291       0.0030769307
   2.0431034483       0.0010157927       0.0012804820
   2.1551724138       0.0004205249       0.0005025125
   2.2672413793       0.0001639415       0.0001861475
   2.3793103448       0.0000589924       0.0000639218
   2.4913793103       0.0000205266       0.0000212433
   2.6034482759       0.0000070011       0.0000069343
   2.7155172414       0.0000021566       0.0000020461
   2.8275862069       0.0000005157       0.0000004687
   2.9396551724       0.0000001016       0.0000000880
   3.0517241379       0.0000000104       0.0000000086
   3.1637931034       0.0000000000       0.0000000000
   3.2758620690       0.0000000000       0.0000000000
   3.3879310345       0.0000000000       0.0000000000
   3.5000000000       0.0000000000       0.0000000000
