 r                      rho(r)
   0.1000000000       0.0016054274       0.0526055427
   0.1558139535       0.0044054119       0.0924114367
   0.2116279070       0.0088050392       0.1353170948
   0.2674418605       0.0144226122       0.1742731668
   0.3232558140       0.0209639370       0.2082032574
   0.3790697674       0.0280882722       0.2364880371
   0.4348837209       0.0354791036       0.2592622022
   0.4906976744       0.0425825865       0.2753329023
   0.5465116279       0.0491340681       0.2855803169
   0.6023255814       0.0547795627       0.2900640819
   0.6581395349       0.0593129520       0.2892862295
   0.7139534884       0.0625340825       0.2834860593
   0.7697674419       0.0641806212       0.2724619665
   0.8255813953       0.0643455362       0.2571835232
   0.8813953488       0.0629860871       0.2379920467
   0.9372093023       0.0602720824       0.2158600172
   0.9930232558       0.0564963905       0.1920972192
   1.0488372093       0.0517909903       0.1673689942
   1.1046511628       0.0464392151       0.1427329975
   1.1604651163       0.0408126695       0.1193844956
   1.2162790698       0.0351101618       0.0978195198
   1.2720930233       0.0296166604       0.0786737652
   1.3279069767       0.0244467356       0.0620023089
   1.3837209302       0.0198162568       0.0480634594
   1.4395348837       0.0157172617       0.0365182348
   1.4953488372       0.0122497640       0.0273139003
   1.5511627907       0.0093865077       0.0201231236
   1.6069767442       0.0070500551       0.0145561356
   1.6627906977       0.0051862846       0.0103300167
   1.7186046512       0.0037583719       0.0072320693
   1.7744186047       0.0026688842       0.0049683289
   1.8302325581       0.0018695443       0.0033729157
   1.8860465116       0.0012808489       0.0022412214
   1.9418604651       0.0008589877       0.0014597375
   1.9976744186       0.0005750712       0.0009498474
   2.0534883721       0.0003710901       0.0005962758
   2.1093023256       0.0002357030       0.0003687275
   2.1651162791       0.0001473247       0.0002245939
   2.2209302326       0.0000886707       0.0001318017
   2.2767441860       0.0000530639       0.0000768934
   2.3325581395       0.0000307051       0.0000432917
   2.3883720930       0.0000183439       0.0000252819
   2.4441860465       0.0000110360       0.0000148486
   2.5000000000       0.0000069544       0.0000091221
