 Step       Num walks        Ene     acc_prob
         1          1000       1.6884166641       0.8550000000
         2          1000       1.6884578553       0.8780000000
         3          1000       1.6885155734       0.8850000000
         4          1001       1.6884104896       0.8890000000
         5          1002       1.6884284504       0.8821178821
         6          1003       1.6883870881       0.8622754491
         7          1003       1.6884426209       0.8923230309
         8          1003       1.6883990302       0.8614157527
         9          1003       1.6883489886       0.8683948156
        10          1003       1.6883505350       0.8733798604
        11          1003       1.6882740353       0.8654037886
        12          1003       1.6882946978       0.8773678963
        13          1004       1.6883431308       0.8853439681
        14          1004       1.6883834511       0.8735059761
        15          1004       1.6883787455       0.8575697211
        16          1004       1.6883839530       0.8764940239
        17          1004       1.6884209961       0.8824701195
        18          1004       1.6884105699       0.8545816733
        19          1005       1.6884095890       0.8814741036
        20          1006       1.6885452222       0.8786069652
        21          1006       1.6883744648       0.8757455268
        22          1007       1.6883354318       0.8667992048
        23          1008       1.6883693394       0.8818272095
        24          1010       1.6883645956       0.8878968254
        25          1011       1.6883673500       0.8811881188
        26          1011       1.6883789286       0.8803165183
        27          1011       1.6883449148       0.8595450049
        28          1011       1.6884386564       0.8852621167
        29          1011       1.6883729009       0.8684470821
        30          1011       1.6883789305       0.8704253215
        31          1011       1.6883920675       0.8684470821
        32          1011       1.6884139060       0.8674579624
        33          1011       1.6884391592       0.8793273986
        34          1012       1.6884795899       0.8555885262
        35          1012       1.6883970139       0.8774703557
        36          1012       1.6883858316       0.8903162055
        37          1013       1.6883899531       0.8586956522
        38          1013       1.6884223763       0.8756169793
        39          1013       1.6884434536       0.8756169793
        40          1013       1.6884363332       0.8854886476
        41          1013       1.6884074997       0.8696939783
        42          1013       1.6884215144       0.8726554788
        43          1013       1.6884163859       0.8795656466
        44          1014       1.6884444241       0.8805528134
        45          1015       1.6884103435       0.8826429980
        46          1015       1.6884519154       0.8807881773
        47          1015       1.6884386917       0.8758620690
        48          1016       1.6884629783       0.8857142857
        49          1016       1.6884415933       0.8700787402
        50          1017       1.6883947051       0.8671259843
        51          1018       1.6884295283       0.8888888889
        52          1018       1.6884193040       0.8860510806
        53          1020       1.6883333444       0.8860510806
        54          1021       1.6883955492       0.8696078431
        55          1021       1.6884070091       0.8863858962
        56          1021       1.6884151166       0.8658178257
        57          1022       1.6884038822       0.8952007835
        58          1022       1.6883526953       0.8737769080
        59          1023       1.6883365533       0.8884540117
        60          1024       1.6883736839       0.8748778104
        61          1025       1.6884459034       0.8671875000
        62          1025       1.6884447477       0.8751219512
        63          1025       1.6884950476       0.8780487805
        64          1025       1.6884738537       0.8809756098
        65          1025       1.6882995103       0.8819512195
        66          1026       1.6883994103       0.8702439024
        67          1026       1.6882208641       0.8781676413
        68          1026       1.6883721165       0.8781676413
        69          1026       1.6884205363       0.8781676413
        70          1026       1.6884079728       0.8752436647
        71          1026       1.6884148490       0.8820662768
        72          1026       1.6884866037       0.8713450292
        73          1027       1.6884713375       0.8664717349
        74          1027       1.6884246930       0.8802336904
        75          1027       1.6882922848       0.8695228822
        76          1028       1.6883761928       0.9006815969
        77          1028       1.6882778714       0.8793774319
        78          1029       1.6884272479       0.8657587549
        79          1031       1.6883716731       0.8794946550
        80          1032       1.6883651133       0.8758486906
        81          1032       1.6883018240       0.8662790698
        82          1035       1.6883032149       0.8759689922
        83          1036       1.6882753386       0.8666666667
        84          1036       1.6883094906       0.8793436293
        85          1037       1.6884245284       0.8735521236
        86          1038       1.6884533680       0.8659594986
        87          1038       1.6884692118       0.8728323699
        88          1038       1.6884532784       0.8506743738
        89          1038       1.6884706323       0.8641618497
        90          1038       1.6884614699       0.8795761079
        91          1038       1.6885097139       0.8843930636
        92          1039       1.6884939619       0.8728323699
        93          1039       1.6884681574       0.9008662175
        94          1039       1.6884647781       0.8835418672
        95          1039       1.6884868381       0.8835418672
        96          1039       1.6884661811       0.8739172281
        97          1040       1.6884104413       0.8768046198
        98          1040       1.6884675948       0.8605769231
        99          1040       1.6884500890       0.8615384615
       100          1040       1.6884037910       0.8951923077
       101          1040       1.6884571955       0.8701923077
       102          1040       1.6884706119       0.8759615385
       103          1040       1.6884183342       0.8894230769
       104          1040       1.6884230038       0.8625000000
       105          1040       1.6884117449       0.8798076923
       106          1040       1.6884929521       0.8634615385
       107          1040       1.6885070326       0.8826923077
       108          1040       1.6885258667       0.8701923077
       109          1040       1.6885633756       0.8663461538
       110          1040       1.6885454862       0.8711538462
       111          1040       1.6884860945       0.8846153846
       112          1040       1.6885175827       0.8701923077
       113          1040       1.6886094986       0.8788461538
       114          1040       1.6885515968       0.8923076923
       115          1040       1.6885919676       0.8663461538
       116          1040       1.6885617359       0.8961538462
       117          1040       1.6885743610       0.8557692308
       118          1040       1.6885311394       0.8778846154
       119          1040       1.6885486942       0.8778846154
       120          1040       1.6885375917       0.8701923077
       121          1040       1.6885188897       0.8673076923
       122          1040       1.6884949643       0.8548076923
       123          1040       1.6884982875       0.8788461538
       124          1040       1.6885343573       0.8615384615
       125          1040       1.6885171141       0.8759615385
       126          1040       1.6885250763       0.8942307692
       127          1040       1.6885077742       0.8634615385
       128          1040       1.6884863951       0.8653846154
       129          1040       1.6884812765       0.8807692308
       130          1040       1.6884438341       0.8519230769
       131          1040       1.6884163803       0.8788461538
       132          1040       1.6884508615       0.8788461538
       133          1040       1.6884022609       0.8807692308
       134          1038       1.6884746121       0.8769230769
       135          1038       1.6884785683       0.8795761079
       136          1038       1.6884822492       0.8526011561
       137          1038       1.6884908556       0.8709055877
       138          1038       1.6885518433       0.8718689788
       139          1038       1.6885384209       0.8911368015
       140          1038       1.6885480974       0.8930635838
       141          1038       1.6886078761       0.8776493256
       142          1038       1.6885614925       0.8747591522
       143          1038       1.6885731918       0.8747591522
       144          1038       1.6885884657       0.8670520231
       145          1038       1.6885761900       0.8737957611
       146          1038       1.6885482699       0.8776493256
       147          1038       1.6885917207       0.8737957611
       148          1038       1.6885551959       0.8776493256
       149          1038       1.6885489208       0.8670520231
       150          1038       1.6885425609       0.8737957611
       151          1038       1.6885232871       0.8863198459
       152          1038       1.6884946998       0.8545279383
       153          1038       1.6885047733       0.8709055877
       154          1038       1.6885603298       0.8574181118
       155          1038       1.6886128694       0.8901734104
       156          1038       1.6885540886       0.8872832370
       157          1038       1.6884467947       0.8641618497
       158          1038       1.6885585733       0.8786127168
       159          1038       1.6885773385       0.8689788054
       160          1038       1.6885806053       0.8680154143
       161          1038       1.6885675128       0.8497109827
       162          1038       1.6885591446       0.8747591522
       163          1038       1.6885948010       0.8795761079
       164          1038       1.6885720172       0.8641618497
       165          1038       1.6885842775       0.8853564547
       166          1038       1.6885066297       0.8757225434
       167          1038       1.6885422487       0.8660886320
       168          1038       1.6885476119       0.8631984586
       169          1038       1.6885722022       0.8863198459
       170          1038       1.6885406088       0.8699421965
       171          1038       1.6886244996       0.8843930636
       172          1038       1.6885517264       0.8988439306
       173          1038       1.6885845840       0.8786127168
       174          1038       1.6886059297       0.8872832370
       175          1038       1.6885495289       0.8718689788
       176          1038       1.6886159175       0.8699421965
       177          1038       1.6885454836       0.8747591522
       178          1038       1.6885317113       0.8776493256
       179          1038       1.6885953811       0.8651252408
       180          1038       1.6885550291       0.8699421965
       181          1038       1.6886295517       0.8824662813
       182          1038       1.6886399536       0.8776493256
       183          1038       1.6885957508       0.8747591522
       184          1038       1.6886133760       0.8622350674
       185          1038       1.6886518471       0.8853564547
       186          1038       1.6886255504       0.8786127168
       187          1038       1.6886418366       0.8689788054
       188          1038       1.6886118574       0.8921001927
       189          1038       1.6886605650       0.8689788054
       190          1038       1.6886226251       0.8737957611
       191          1038       1.6886514499       0.8757225434
       192          1038       1.6886356213       0.8940269750
       193          1038       1.6886391020       0.8776493256
       194          1038       1.6886431029       0.8564547206
       195          1038       1.6886424485       0.8940269750
       196          1038       1.6886306830       0.8815028902
       197          1038       1.6886371797       0.9017341040
       198          1038       1.6886449778       0.8853564547
       199          1038       1.6886451570       0.8901734104
       200          1038       1.6886935522       0.8574181118
       201          1038       1.6887992741       0.8612716763
       202          1038       1.6883874869       0.8709055877
       203          1038       1.6886264446       0.8564547206
       204          1038       1.6886676671       0.8757225434
       205          1038       1.6887389082       0.8709055877
       206          1038       1.6886292276       0.8815028902
       207          1038       1.6886500574       0.8815028902
       208          1038       1.6886709422       0.8776493256
       209          1038       1.6886815121       0.8670520231
       210          1038       1.6886793774       0.8603082852
       211          1038       1.6886591515       0.8718689788
       212          1038       1.6886847840       0.8689788054
       213          1038       1.6886565641       0.8718689788
       214          1038       1.6886750227       0.8709055877
       215          1038       1.6886823342       0.8641618497
       216          1038       1.6886372246       0.8622350674
       217          1038       1.6886281471       0.8757225434
       218          1038       1.6886527644       0.8737957611
       219          1038       1.6886777818       0.8564547206
       220          1038       1.6887372208       0.8680154143
       221          1038       1.6887279385       0.8863198459
       222          1038       1.6887461105       0.8737957611
       223          1038       1.6887112180       0.8843930636
       224          1038       1.6887202233       0.8718689788
       225          1038       1.6887143628       0.8843930636
       226          1038       1.6886743712       0.8737957611
       227          1038       1.6887364572       0.8709055877
       228          1038       1.6885878775       0.8612716763
       229          1038       1.6886788528       0.8603082852
       230          1038       1.6887016060       0.8901734104
       231          1038       1.6886683399       0.8786127168
       232          1038       1.6885206534       0.8689788054
       233          1038       1.6888216839       0.8911368015
       234          1038       1.6885548716       0.8815028902
       235          1038       1.6885699951       0.8747591522
       236          1038       1.6887119022       0.8660886320
       237          1038       1.6887488761       0.8757225434
       238          1038       1.6887773082       0.8795761079
       239          1038       1.6887236467       0.8776493256
       240          1038       1.6887285467       0.8689788054
       241          1036       1.6887526739       0.8593448940
       242          1036       1.6887397159       0.8870656371
       243          1036       1.6887903511       0.8687258687
       244          1036       1.6886839480       0.8764478764
       245          1036       1.6887127583       0.8696911197
       246          1036       1.6888342740       0.8648648649
       247          1036       1.6887394627       0.8725868726
       248          1036       1.6887584599       0.8494208494
       249          1036       1.6887455862       0.8629343629
       250          1036       1.6886741268       0.8832046332
       251          1036       1.6886679451       0.8725868726
       252          1036       1.6887091537       0.8909266409
       253          1036       1.6886938394       0.8745173745
       254          1036       1.6886934687       0.8793436293
       255          1036       1.6887168007       0.8976833977
       256          1036       1.6887145829       0.8716216216
       257          1036       1.6887084215       0.8803088803
       258          1036       1.6887342750       0.8745173745
       259          1036       1.6887393822       0.8812741313
       260          1036       1.6887783301       0.8667953668
       261          1036       1.6887318464       0.8822393822
       262          1036       1.6887067527       0.8822393822
       263          1036       1.6887181222       0.8716216216
       264          1035       1.6887561780       0.8745173745
       265          1035       1.6887498262       0.8772946860
       266          1035       1.6887782859       0.8657004831
       267          1035       1.6887632982       0.8743961353
       268          1035       1.6887416772       0.8782608696
       269          1035       1.6887366089       0.8879227053
       270          1035       1.6887297932       0.8734299517
       271          1035       1.6887131987       0.8821256039
       272          1035       1.6886789251       0.8830917874
       273          1033       1.6886820675       0.8666666667
       274          1033       1.6886714681       0.8760890610
       275          1033       1.6886531623       0.8789932236
       276          1031       1.6886728389       0.8741529526
       277          1031       1.6886549136       0.8903976722
       278          1031       1.6886846247       0.8535402522
       279          1031       1.6886569770       0.8894277401
       280          1031       1.6887092618       0.8651794374
       281          1031       1.6887080224       0.8845780795
       282          1031       1.6887007504       0.8690591659
       283          1031       1.6887184306       0.8690591659
       284          1031       1.6887465332       0.8845780795
       285          1031       1.6888883513       0.8651794374
       286          1031       1.6888807814       0.8709990301
       287          1031       1.6886702917       0.8981571290
       288          1031       1.6887892732       0.8729388943
       289          1031       1.6887699615       0.8933074685
       290          1031       1.6887710062       0.8884578080
       291          1031       1.6887603780       0.8758486906
       292          1031       1.6887234673       0.8632395732
       293          1031       1.6887570257       0.8845780795
       294          1031       1.6887516171       0.8748787585
       295          1031       1.6887487187       0.8690591659
       296          1031       1.6887275948       0.8933074685
       297          1031       1.6887696223       0.8865179437
       298          1029       1.6888218554       0.8777885548
       299          1029       1.6888067688       0.8726919339
       300          1029       1.6887040284       0.8814382896
       301          1029       1.6887185409       0.8872691934
       302          1029       1.6887787704       0.8571428571
       303          1029       1.6887537934       0.8804664723
       304          1029       1.6888190533       0.8911564626
       305          1029       1.6887800535       0.8590864917
       306          1029       1.6887873148       0.8726919339
       307          1029       1.6887710180       0.8775510204
       308          1029       1.6887772489       0.8882410107
       309          1029       1.6887824594       0.8824101069
       310          1029       1.6887748563       0.8736637512
       311          1029       1.6888086157       0.8765792031
       312          1029       1.6889276657       0.8843537415
       313          1029       1.6888373240       0.8726919339
       314          1029       1.6888407799       0.8824101069
       315          1029       1.6888226777       0.8756073858
       316          1029       1.6888443880       0.8862973761
       317          1029       1.6888237125       0.8571428571
       318          1029       1.6888088384       0.8804664723
       319          1029       1.6888113380       0.8756073858
       320          1029       1.6887971698       0.8911564626
       321          1029       1.6888071394       0.8969873664
       322          1029       1.6888073097       0.8804664723
       323          1029       1.6888903925       0.8678328474
       324          1029       1.6888027413       0.8746355685
       325          1029       1.6888080899       0.8785228377
       326          1029       1.6888368183       0.8756073858
       327          1029       1.6888034809       0.8882410107
       328          1029       1.6887748676       0.8794946550
       329          1029       1.6887624916       0.8921282799
       330          1029       1.6887469548       0.8765792031
       331          1029       1.6887926888       0.8649173955
       332          1029       1.6887770996       0.8668610301
       333          1029       1.6888976612       0.8872691934
       334          1029       1.6887875247       0.8620019436
       335          1029       1.6888414455       0.8668610301
       336          1029       1.6888412667       0.8804664723
       337          1029       1.6888327310       0.8804664723
       338          1029       1.6888446765       0.8892128280
       339          1029       1.6888126409       0.8892128280
       340          1029       1.6887957197       0.8688046647
       341          1029       1.6887501484       0.8746355685
       342          1029       1.6887863682       0.8571428571
       343          1029       1.6888063498       0.8794946550
       344          1029       1.6887981230       0.8726919339
       345          1029       1.6887213922       0.8833819242
       346          1029       1.6887736034       0.8629737609
       347          1029       1.6887136588       0.8649173955
       348          1029       1.6888176667       0.8658892128
       349          1029       1.6887493941       0.8979591837
       350          1029       1.6888113484       0.8931000972
       351          1029       1.6887674038       0.8824101069
       352          1029       1.6887544731       0.8726919339
