 r                      rho(r)
   0.1200000000       0.0028001909      -0.0292885878
   0.2452173913       0.0201671606      -0.1348564715
   0.3704347826       0.0511173472      -0.2257071271
   0.4956521739       0.0875127262      -0.2978634593
   0.6208695652       0.1198508170      -0.3496099588
   0.7460869565       0.1401141351      -0.3784302274
   0.8713043478       0.1438559506      -0.3835102023
   0.9965217391       0.1313992613      -0.3662866703
   1.1217391304       0.1075898747      -0.3308845223
   1.2469565217       0.0792213933      -0.2829497369
   1.3721739130       0.0526072075      -0.2289246245
   1.4973913043       0.0315845440      -0.1742121591
   1.6226086957       0.0172230955      -0.1218546532
   1.7478260870       0.0085581509      -0.0747436589
   1.8730434783       0.0038733517      -0.0389192557
   1.9982608696       0.0016048090      -0.0173878307
   2.1234782609       0.0006090196      -0.0068322354
   2.2486956522       0.0002144056      -0.0024385529
   2.3739130435       0.0000688834      -0.0007878733
   2.4991304348       0.0000204701      -0.0002344303
   2.6243478261       0.0000053758      -0.0000615936
   2.7495652174       0.0000014002      -0.0000160483
   2.8747826087       0.0000003032      -0.0000034751
   3.0000000000       0.0000000907      -0.0000010387
