 r                      rho(r)
   0.1200000000       0.0009521592      -0.0107504388
   0.2452173913       0.0088596350      -0.0782951381
   0.3704347826       0.0219488399      -0.1438403835
   0.4956521739       0.0391778262      -0.1969831506
   0.6208695652       0.0591471283      -0.2446967089
   0.7460869565       0.0790998108      -0.2846047877
   0.8713043478       0.0943892847      -0.3115348376
   0.9965217391       0.1002521848      -0.3213128936
   1.1217391304       0.1011614876      -0.3230586646
   1.2469565217       0.0989867503      -0.3192301928
   1.3721739130       0.0922919921      -0.3076091203
   1.4973913043       0.0802527437      -0.2867723673
   1.6226086957       0.0646557707      -0.2562555463
   1.7478260870       0.0506800762      -0.2262025132
   1.8730434783       0.0381941824      -0.1943054050
   1.9982608696       0.0256322347      -0.1562575706
   2.1234782609       0.0171649750      -0.1225366584
   2.2486956522       0.0118054403      -0.0949866113
   2.3739130435       0.0075276313      -0.0690200338
   2.4991304348       0.0038447912      -0.0392582390
   2.6243478261       0.0019319708      -0.0204817306
   2.7495652174       0.0010771529      -0.0118989872
   2.8747826087       0.0005260846      -0.0059320083
   3.0000000000       0.0002544577      -0.0029271702
