 Step       Num walks        Ene     acc_prob
         1           100       1.6887338719       0.8800000000
         2           100       1.6884831180       0.8400000000
         3           100       1.6884575383       0.8700000000
         4           100       1.6885502824       0.8700000000
         5           100       1.6884659554       0.8500000000
         6           100       1.6884767207       0.8500000000
         7           100       1.6887911562       0.8700000000
         8           100       1.6884226456       0.8900000000
         9           100       1.6884554693       0.8600000000
        10           100       1.6885417078       0.9000000000
        11           100       1.6885286193       0.8900000000
        12           100       1.6884949812       0.9300000000
        13           100       1.6883766553       0.8700000000
        14           102       1.6884273875       0.8600000000
        15           102       1.6884057312       0.8921568627
        16           102       1.6882951335       0.9019607843
        17           102       1.6883155410       0.9313725490
        18           102       1.6883920414       0.8823529412
        19           102       1.6883504472       0.8823529412
        20           102       1.6888446854       0.8823529412
        21           102       1.6884346867       0.9117647059
        22           102       1.6883629466       0.8823529412
        23           102       1.6883324485       0.8823529412
        24           102       1.6883219329       0.9019607843
        25           102       1.6882638365       0.9019607843
        26           102       1.6882185793       0.9215686275
        27           102       1.6882458060       0.8823529412
        28           102       1.6881813637       0.7941176471
        29           102       1.6883156466       0.8529411765
        30           102       1.6883362598       0.8627450980
        31           102       1.6884358813       0.8627450980
        32           102       1.6884960864       0.9019607843
        33           102       1.6884632734       0.9215686275
        34           102       1.6884237976       0.8529411765
        35           102       1.6884092980       0.8725490196
        36           102       1.6884209509       0.7941176471
        37           103       1.6883735302       0.8627450980
        38           103       1.6883870416       0.8737864078
        39           103       1.6883836614       0.9126213592
        40           103       1.6884226908       0.8834951456
        41           103       1.6883127971       0.8446601942
        42           103       1.6882921581       0.8640776699
        43           103       1.6884212978       0.8349514563
        44           103       1.6883540579       0.8737864078
        45           104       1.6883536156       0.8543689320
        46           104       1.6883605547       0.8942307692
        47           104       1.6888295095       0.8846153846
        48           104       1.6884859354       0.9038461538
        49           104       1.6881105670       0.8750000000
        50           104       1.6879229543       0.9134615385
        51           104       1.6882187634       0.9230769231
        52           104       1.6877474637       0.8653846154
        53           104       1.6876458251       0.8365384615
        54           104       1.6879772475       0.8846153846
        55           104       1.6879896628       0.8269230769
        56           104       1.6881061977       0.8653846154
        57           104       1.6882532517       0.8653846154
        58           105       1.6882244922       0.8461538462
        59           105       1.6883328131       0.8666666667
        60           105       1.6882628687       0.8857142857
        61           105       1.6882541722       0.8952380952
        62           105       1.6885446083       0.8190476190
        63           105       1.6884137663       0.8095238095
        64           105       1.6883590227       0.8380952381
        65           105       1.6885022130       0.8761904762
        66           105       1.6884902291       0.8857142857
        67           105       1.6884126967       0.8285714286
        68           105       1.6883248354       0.8761904762
        69           105       1.6883898926       0.9142857143
        70           105       1.6883893660       0.8380952381
        71           105       1.6883113721       0.9047619048
        72           105       1.6884237845       0.8952380952
        73           105       1.6885098211       0.9333333333
        74           105       1.6884764218       0.9047619048
        75           105       1.6884638528       0.8571428571
        76           105       1.6885119831       0.8952380952
        77           105       1.6884846631       0.8761904762
        78           105       1.6885263529       0.9142857143
        79           105       1.6885238228       0.9047619048
        80           105       1.6884788541       0.7904761905
        81           105       1.6884171159       0.8952380952
        82           105       1.6884370381       0.8857142857
        83           105       1.6884644305       0.9142857143
        84           105       1.6884889976       0.8761904762
        85           105       1.6887056035       0.8952380952
        86           105       1.6885618457       0.8380952381
        87           105       1.6886565559       0.8571428571
        88           105       1.6885310662       0.8666666667
        89           105       1.6885730165       0.8857142857
        90           105       1.6884231013       0.8952380952
        91           105       1.6883568052       0.8476190476
        92           105       1.6883399502       0.8761904762
        93           105       1.6883314453       0.8666666667
        94           105       1.6883311663       0.8761904762
        95           105       1.6883859748       0.8761904762
        96           105       1.6884697781       0.8761904762
        97           105       1.6883454906       0.8571428571
        98           105       1.6885802917       0.9047619048
        99           105       1.6880328605       0.8476190476
       100           105       1.6882205497       0.9047619048
       101           105       1.6883867157       0.9047619048
       102           105       1.6881830324       0.8761904762
       103           105       1.6883082578       0.8571428571
       104           105       1.6883156287       0.8285714286
       105           105       1.6882977631       0.8761904762
       106           105       1.6882665472       0.8761904762
       107           105       1.6882573006       0.8952380952
       108           105       1.6882666506       0.9047619048
       109           105       1.6882357165       0.8761904762
       110           103       1.6883449588       0.8952380952
       111           103       1.6883964342       0.9223300971
       112           103       1.6881968057       0.8932038835
       113           103       1.6883166619       0.8932038835
       114           103       1.6881238548       0.8834951456
       115           103       1.6882214410       0.8058252427
       116           103       1.6881853762       0.8834951456
       117           103       1.6882062228       0.8446601942
       118           103       1.6881971663       0.8737864078
       119           103       1.6883249530       0.8834951456
       120           103       1.6882910341       0.9029126214
       121           103       1.6882617775       0.8349514563
       122           103       1.6882332240       0.8834951456
       123           103       1.6881812209       0.8349514563
       124           101       1.6883346654       0.9029126214
       125           101       1.6882811542       0.8316831683
       126           101       1.6882221999       0.8217821782
       127           101       1.6882333434       0.8514851485
       128           101       1.6882038047       0.9009900990
       129           101       1.6882210200       0.8811881188
       130           101       1.6881131975       0.8415841584
       131           101       1.6882212124       0.8217821782
       132           101       1.6882423473       0.8217821782
       133           101       1.6882484293       0.8811881188
       134           101       1.6882163826       0.8316831683
       135           101       1.6882520543       0.9009900990
       136           101       1.6882389657       0.8118811881
       137           101       1.6882438811       0.9306930693
       138           101       1.6882728029       0.9009900990
       139           101       1.6881409635       0.8613861386
       140           101       1.6881965366       0.8514851485
       141           101       1.6882370980       0.8613861386
       142           101       1.6879092044       0.8415841584
       143           101       1.6882057113       0.9009900990
       144           101       1.6883587791       0.8910891089
       145           101       1.6882382833       0.8910891089
       146           101       1.6881425078       0.8514851485
       147           101       1.6881631207       0.9009900990
       148            99       1.6883608130       0.8613861386
       149            99       1.6882810095       0.8484848485
       150            99       1.6883281270       0.8080808081
       151            99       1.6883900455       0.8383838384
       152            99       1.6882766847       0.8686868687
       153            99       1.6882677456       0.9090909091
       154            99       1.6883185216       0.8989898990
       155            99       1.6884552139       0.8888888889
       156            99       1.6883236973       0.8888888889
       157            97       1.6882724277       0.8585858586
       158            97       1.6882245706       0.8865979381
       159            97       1.6881466392       0.8659793814
       160            95       1.6881968007       0.8969072165
       161            95       1.6882993388       0.8631578947
       162            95       1.6884514942       0.8105263158
       163            95       1.6884801768       0.9473684211
       164            95       1.6884238405       0.8842105263
       165            93       1.6884447145       0.8421052632
       166            93       1.6883979943       0.9139784946
       167            93       1.6884203269       0.8924731183
       168            93       1.6884619437       0.8172043011
       169            93       1.6884693506       0.8602150538
       170            93       1.6884969963       0.8064516129
       171            91       1.6884770682       0.8709677419
       172            91       1.6885165804       0.8571428571
       173            91       1.6885227353       0.8791208791
       174            89       1.6884941262       0.9230769231
       175            89       1.6884328567       0.8876404494
       176            89       1.6884658047       0.8764044944
       177            89       1.6884654980       0.8539325843
       178            89       1.6885137566       0.8202247191
       179            89       1.6884543771       0.8651685393
       180            89       1.6883761666       0.8876404494
       181            89       1.6883187339       0.8764044944
       182            89       1.6883988219       0.8651685393
       183            89       1.6883488409       0.8426966292
       184            89       1.6883682965       0.8651685393
       185            89       1.6885497024       0.8651685393
       186            89       1.6884099277       0.9101123596
       187            89       1.6884217899       0.8876404494
       188            89       1.6883842555       0.8876404494
       189            89       1.6884219473       0.8539325843
       190            89       1.6884436736       0.8651685393
