 Cycle        E        err_E       a_r
         1       -24.97885832         0.92281846         0.73100000
         2       -19.43356187         0.74535437         0.71650000
         3       -15.34510577         0.55562015         0.69750000
         4       -11.90074010         0.48364013         0.68700000
         5        -9.22668452         0.31834896         0.66200000
         6        -7.27123380         0.30717856         0.64900000
         7        -5.57942820         0.20358775         0.66000000
         8        -4.27309979         0.18139776         0.63400000
         9        -3.15191726         0.16324221         0.65000000
        10        -2.14809139         0.13218876         0.61400000
