 Cycle        E        err_E       a_r
         1         1.68852187         0.00000596         0.54229100
         2         1.68844604         0.00000577         0.54249000
         3         1.68837526         0.00000365         0.54254500
         4         1.68835704         0.00000498         0.54127300
         5         1.68843697         0.00000443         0.54230200
         6         1.68845704         0.00000367         0.54221000
         7         1.68842088         0.00001059         0.54212500
         8         1.68847640         0.00000365         0.54299300
         9         1.68844104         0.00000598         0.54243100
        10         1.68840275         0.00000431         0.54146900
        11         1.68832176         0.00000565         0.54165100
        12         1.68838789         0.00000374         0.54132400
        13         1.68844185         0.00000508         0.54288000
        14         1.68850883         0.00000356         0.54200100
        15         1.68840735         0.00000342         0.54127200
        16         1.68830867         0.00000339         0.54212600
        17         1.68832377         0.00000349         0.54186900
        18         1.68845561         0.00000576         0.54196000
        19         1.68832374         0.00000503         0.54192700
        20         1.68847782         0.00000526         0.54214900
